C23002H_001E,C23002H_001EA,C23002H_001M,C23002H_001MA,C23002H_002E,C23002H_002EA,C23002H_002M,C23002H_002MA,C23002H_003E,C23002H_003EA,C23002H_003M,C23002H_003MA,C23002H_004E,C23002H_004EA,C23002H_004M,C23002H_004MA,C23002H_005E,C23002H_005EA,C23002H_005M,C23002H_005MA,C23002H_006E,C23002H_006EA,C23002H_006M,C23002H_006MA,C23002H_007E,C23002H_007EA,C23002H_007M,C23002H_007MA,C23002H_008E,C23002H_008EA,C23002H_008M,C23002H_008MA,C23002H_009E,C23002H_009EA,C23002H_009M,C23002H_009MA,C23002H_010E,C23002H_010EA,C23002H_010M,C23002H_010MA,C23002H_011E,C23002H_011EA,C23002H_011M,C23002H_011MA,C23002H_012E,C23002H_012EA,C23002H_012M,C23002H_012MA,C23002H_013E,C23002H_013EA,C23002H_013M,C23002H_013MA,C23002H_014E,C23002H_014EA,C23002H_014M,C23002H_014MA,C23002H_015E,C23002H_015EA,C23002H_015M,C23002H_015MA,C23002H_016E,C23002H_016EA,C23002H_016M,C23002H_016MA,C23002H_017E,C23002H_017EA,C23002H_017M,C23002H_017MA,C23002H_018E,C23002H_018EA,C23002H_018M,C23002H_018MA,C23002H_019E,C23002H_019EA,C23002H_019M,C23002H_019MA,C23002H_020E,C23002H_020EA,C23002H_020M,C23002H_020MA,C23002H_021E,C23002H_021EA,C23002H_021M,C23002H_021MA,C23002H_022E,C23002H_022EA,C23002H_022M,C23002H_022MA,C23002H_023E,C23002H_023EA,C23002H_023M,C23002H_023MA,C23002H_024E,C23002H_024EA,C23002H_024M,C23002H_024MA,C23002H_025E,C23002H_025EA,C23002H_025M,C23002H_025MA,C23002H_026E,C23002H_026EA,C23002H_026M,C23002H_026MA,C23002H_027E,C23002H_027EA,C23002H_027M,C23002H_027MA,GEO_ID,NAME,state
2582023,null,2707,null,1246810,null,2136,null,1030602,null,2105,null,822384,null,6311,null,11937,null,2755,null,810447,null,7035,null,768248,null,7853,null,42199,null,4022,null,208218,null,6932,null,216208,null,318,null,42032,null,2272,null,40528,null,2195,null,1504,null,495,null,174176,null,2351,null,1335213,null,2021,null,1039497,null,2029,null,687778,null,6660,null,1180,null,582,null,686598,null,6658,null,649400,null,6918,null,37198,null,3163,null,351719,null,6798,null,295716,null,213,null,30237,null,2261,null,29369,null,2260,null,868,null,374,null,265479,null,2297,null,0400000US01,Alabama,01
362928,null,1005,null,192594,null,641,null,174552,null,658,null,147337,null,2589,null,12440,null,2347,null,134897,null,3235,null,124943,null,3576,null,9954,null,1868,null,27215,null,2547,null,18042,null,176,null,5374,null,818,null,5341,null,822,null,33,null,69,null,12668,null,829,null,170334,null,774,null,152093,null,774,null,113107,null,3003,null,1166,null,481,null,111941,null,2952,null,106773,null,2760,null,5168,null,1310,null,38986,null,2925,null,18241,null,113,null,3717,null,716,null,3717,null,716,null,0,null,240,null,14524,null,743,null,0400000US02,Alaska,02
3139390,null,3335,null,1535166,null,2865,null,1212023,null,2896,null,983461,null,7321,null,12854,null,1823,null,970607,null,7713,null,918481,null,8649,null,52126,null,4187,null,228562,null,6806,null,323143,null,379,null,52429,null,3049,null,50178,null,3077,null,2251,null,772,null,270714,null,3030,null,1604224,null,2441,null,1213477,null,2363,null,868224,null,8162,null,2951,null,1162,null,865273,null,8062,null,824688,null,8178,null,40585,null,3678,null,345253,null,8520,null,390747,null,416,null,39582,null,2960,null,37334,null,2776,null,2248,null,680,null,351165,null,2975,null,0400000US04,Arizona,04
1745106,null,2676,null,843384,null,2519,null,689631,null,2566,null,534287,null,6713,null,4824,null,1143,null,529463,null,6753,null,498570,null,6866,null,30893,null,2950,null,155344,null,6660,null,153753,null,376,null,27266,null,1918,null,26797,null,1882,null,469,null,267,null,126487,null,1913,null,901722,null,2208,null,698615,null,2202,null,475255,null,6065,null,631,null,480,null,474624,null,6115,null,450687,null,6148,null,23937,null,2523,null,223360,null,6421,null,203107,null,172,null,19871,null,2007,null,19001,null,2012,null,870,null,380,null,183236,null,2019,null,0400000US05,Arkansas,05
13023495,null,8430,null,6419696,null,5673,null,5299242,null,5697,null,4295976,null,18829,null,81310,null,5624,null,4214666,null,18749,null,3929730,null,18923,null,284936,null,8532,null,1003266,null,19991,null,1120454,null,757,null,242286,null,6251,null,231862,null,6162,null,10424,null,1452,null,878168,null,6234,null,6603799,null,5637,null,5127291,null,5383,null,3621622,null,17085,null,13107,null,2474,null,3608515,null,16921,null,3395378,null,17110,null,213137,null,8006,null,1505669,null,17823,null,1476508,null,900,null,175733,null,5325,null,167133,null,5177,null,8600,null,1333,null,1300775,null,5454,null,0400000US06,California,06
2863636,null,3354,null,1419603,null,2293,null,1231176,null,2268,null,1060853,null,5476,null,16639,null,1644,null,1044214,null,5698,null,998069,null,6014,null,46145,null,3727,null,170323,null,5364,null,188427,null,119,null,43464,null,2785,null,41894,null,2730,null,1570,null,561,null,144963,null,2770,null,1444033,null,2328,null,1200959,null,2299,null,905262,null,7785,null,3228,null,743,null,902034,null,7629,null,865299,null,8238,null,36735,null,3621,null,295697,null,7431,null,243074,null,285,null,31466,null,1926,null,30685,null,1889,null,781,null,342,null,211608,null,1987,null,0400000US08,Colorado,08
2119834,null,2629,null,1016785,null,1871,null,842393,null,1899,null,712233,null,6008,null,4021,null,858,null,708212,null,6137,null,668949,null,6438,null,39263,null,3050,null,130160,null,6178,null,174392,null,148,null,45508,null,2220,null,43834,null,2276,null,1674,null,524,null,128884,null,2256,null,1103049,null,1824,null,856818,null,1819,null,651405,null,6325,null,710,null,484,null,650695,null,6436,null,619352,null,6744,null,31343,null,2791,null,205413,null,6600,null,246231,null,152,null,36664,null,2164,null,35295,null,2186,null,1369,null,448,null,209567,null,2177,null,0400000US09,Connecticut,09
489886,null,1341,null,234427,null,967,null,190140,null,967,null,158092,null,2713,null,3388,null,1107,null,154704,null,3047,null,145703,null,3100,null,9001,null,1356,null,32048,null,2718,null,44287,null,263,null,8113,null,1030,null,7795,null,1025,null,318,null,209,null,36174,null,1030,null,255459,null,859,null,197937,null,859,null,145185,null,3395,null,1170,null,734,null,144015,null,3395,null,137549,null,3647,null,6466,null,1054,null,52752,null,3365,null,57522,null,263,null,6422,null,962,null,6318,null,952,null,104,null,133,null,51100,null,962,null,0400000US10,Delaware,10
174289,null,789,null,86516,null,537,null,76723,null,540,null,65482,null,1465,null,1521,null,378,null,63961,null,1530,null,62171,null,1607,null,1790,null,589,null,11241,null,1397,null,9793,null,128,null,3778,null,697,null,3537,null,676,null,241,null,239,null,6015,null,706,null,87773,null,456,null,76472,null,405,null,61601,null,1630,null,194,null,165,null,61407,null,1627,null,59863,null,1753,null,1544,null,563,null,14871,null,1625,null,11301,null,137,null,3507,null,651,null,3507,null,651,null,0,null,296,null,7794,null,672,null,0400000US11,District of Columbia,11
9286765,null,6821,null,4496462,null,4861,null,3386877,null,4840,null,2705535,null,12897,null,31606,null,2591,null,2673929,null,13054,null,2491435,null,14112,null,182494,null,7360,null,681342,null,12817,null,1109585,null,791,null,187118,null,6027,null,177438,null,5919,null,9680,null,1278,null,922467,null,6138,null,4790303,null,4262,null,3412226,null,4243,null,2422195,null,13925,null,4951,null,1407,null,2417244,null,13944,null,2270875,null,15328,null,146369,null,7707,null,990031,null,13759,null,1378077,null,481,null,143467,null,5197,null,135636,null,5023,null,7831,null,1372,null,1234610,null,5186,null,0400000US12,Florida,12
4477661,null,4489,null,2180681,null,3116,null,1868332,null,3129,null,1530543,null,7611,null,35543,null,2797,null,1495000,null,8508,null,1411661,null,10778,null,83339,null,5130,null,337789,null,8235,null,312349,null,348,null,70291,null,3502,null,67146,null,3575,null,3145,null,760,null,242058,null,3541,null,2296980,null,3407,null,1871235,null,3474,null,1294756,null,9542,null,2572,null,748,null,1292184,null,9408,null,1223854,null,10646,null,68330,null,5133,null,576479,null,10117,null,425745,null,1044,null,50853,null,3022,null,49471,null,3019,null,1382,null,580,null,374892,null,2891,null,0400000US13,Georgia,13
272182,null,840,null,149212,null,595,null,128005,null,595,null,106749,null,2371,null,21760,null,2225,null,84989,null,3084,null,80332,null,3006,null,4657,null,1241,null,21256,null,2452,null,21207,null,4,null,6006,null,821,null,5758,null,809,null,248,null,208,null,15201,null,822,null,122970,null,641,null,100957,null,565,null,72948,null,2808,null,1942,null,757,null,71006,null,2799,null,67868,null,2772,null,3138,null,770,null,28009,null,2919,null,22013,null,258,null,3636,null,885,null,3581,null,863,null,55,null,91,null,18377,null,923,null,0400000US15,Hawaii,15
