B08524_001E,B08524_001EA,B08524_001M,B08524_001MA,B08524_002E,B08524_002EA,B08524_002M,B08524_002MA,B08524_003E,B08524_003EA,B08524_003M,B08524_003MA,B08524_004E,B08524_004EA,B08524_004M,B08524_004MA,B08524_005E,B08524_005EA,B08524_005M,B08524_005MA,B08524_006E,B08524_006EA,B08524_006M,B08524_006MA,B08524_007E,B08524_007EA,B08524_007M,B08524_007MA,B08524_008E,B08524_008EA,B08524_008M,B08524_008MA,B08524_009E,B08524_009EA,B08524_009M,B08524_009MA,B08524_010E,B08524_010EA,B08524_010M,B08524_010MA,B08524_011E,B08524_011EA,B08524_011M,B08524_011MA,B08524_012E,B08524_012EA,B08524_012M,B08524_012MA,B08524_013E,B08524_013EA,B08524_013M,B08524_013MA,B08524_014E,B08524_014EA,B08524_014M,B08524_014MA,B08524_015E,B08524_015EA,B08524_015M,B08524_015MA,B08524_016E,B08524_016EA,B08524_016M,B08524_016MA,B08524_017E,B08524_017EA,B08524_017M,B08524_017MA,B08524_018E,B08524_018EA,B08524_018M,B08524_018MA,B08524_019E,B08524_019EA,B08524_019M,B08524_019MA,B08524_020E,B08524_020EA,B08524_020M,B08524_020MA,B08524_021E,B08524_021EA,B08524_021M,B08524_021MA,B08524_022E,B08524_022EA,B08524_022M,B08524_022MA,B08524_023E,B08524_023EA,B08524_023M,B08524_023MA,B08524_024E,B08524_024EA,B08524_024M,B08524_024MA,B08524_025E,B08524_025EA,B08524_025M,B08524_025MA,B08524_026E,B08524_026EA,B08524_026M,B08524_026MA,B08524_027E,B08524_027EA,B08524_027M,B08524_027MA,B08524_028E,B08524_028EA,B08524_028M,B08524_028MA,B08524_029E,B08524_029EA,B08524_029M,B08524_029MA,B08524_030E,B08524_030EA,B08524_030M,B08524_030MA,B08524_031E,B08524_031EA,B08524_031M,B08524_031MA,B08524_032E,B08524_032EA,B08524_032M,B08524_032MA,B08524_033E,B08524_033EA,B08524_033M,B08524_033MA,B08524_034E,B08524_034EA,B08524_034M,B08524_034MA,B08524_035E,B08524_035EA,B08524_035M,B08524_035MA,B08524_036E,B08524_036EA,B08524_036M,B08524_036MA,B08524_037E,B08524_037EA,B08524_037M,B08524_037MA,B08524_038E,B08524_038EA,B08524_038M,B08524_038MA,B08524_039E,B08524_039EA,B08524_039M,B08524_039MA,B08524_040E,B08524_040EA,B08524_040M,B08524_040MA,B08524_041E,B08524_041EA,B08524_041M,B08524_041MA,B08524_042E,B08524_042EA,B08524_042M,B08524_042MA,B08524_043E,B08524_043EA,B08524_043M,B08524_043MA,B08524_044E,B08524_044EA,B08524_044M,B08524_044MA,B08524_045E,B08524_045EA,B08524_045M,B08524_045MA,B08524_046E,B08524_046EA,B08524_046M,B08524_046MA,B08524_047E,B08524_047EA,B08524_047M,B08524_047MA,B08524_048E,B08524_048EA,B08524_048M,B08524_048MA,B08524_049E,B08524_049EA,B08524_049M,B08524_049MA,B08524_050E,B08524_050EA,B08524_050M,B08524_050MA,B08524_051E,B08524_051EA,B08524_051M,B08524_051MA,B08524_052E,B08524_052EA,B08524_052M,B08524_052MA,B08524_053E,B08524_053EA,B08524_053M,B08524_053MA,B08524_054E,B08524_054EA,B08524_054M,B08524_054MA,B08524_055E,B08524_055EA,B08524_055M,B08524_055MA,B08524_056E,B08524_056EA,B08524_056M,B08524_056MA,GEO_ID,NAME,state
2018956,null,15858,null,626989,null,13025,null,312164,null,9536,null,523064,null,12215,null,11811,null,2060,null,212990,null,7342,null,322912,null,8943,null,9026,null,2350,null,1677420,null,17355,null,540155,null,11991,null,250379,null,8766,null,453598,null,11461,null,7116,null,1464,null,161282,null,7146,null,259868,null,7117,null,5022,null,1456,null,236895,null,9426,null,56174,null,3610,null,40724,null,3359,null,44225,null,3450,null,3026,null,1309,null,42085,null,3741,null,48639,null,4053,null,2022,null,992,null,10200,null,1839,null,1482,null,582,null,3839,null,1111,null,1747,null,640,null,0,null,271,null,571,null,394,null,2509,null,894,null,52,null,87,null,25896,null,3269,null,5095,null,863,null,6232,null,1595,null,6422,null,1543,null,853,null,528,null,1813,null,711,null,3763,null,1113,null,1718,null,843,null,21446,null,2361,null,4115,null,884,null,4000,null,939,null,4658,null,1398,null,431,null,313,null,3289,null,988,null,4840,null,1162,null,113,null,127,null,47099,null,3439,null,19968,null,1905,null,6990,null,1624,null,12414,null,1671,null,385,null,270,null,3950,null,1328,null,3293,null,850,null,99,null,182,null,0400000US01,Alabama,01
346972,null,5192,null,114812,null,4597,null,53630,null,3790,null,83592,null,3905,null,3546,null,794,null,46423,null,3497,null,36481,null,3924,null,8488,null,1986,null,226782,null,5878,null,78322,null,4066,null,33110,null,2931,null,59135,null,3521,null,994,null,411,null,28715,null,3154,null,21066,null,2588,null,5440,null,1182,null,49545,null,3950,null,15089,null,2100,null,7524,null,1608,null,13136,null,2144,null,370,null,203,null,7664,null,1589,null,4829,null,1158,null,933,null,476,null,5959,null,1351,null,1092,null,465,null,1634,null,730,null,1477,null,652,null,220,null,320,null,863,null,393,null,638,null,398,null,35,null,70,null,25021,null,2224,null,9020,null,1168,null,6400,null,1524,null,3313,null,696,null,480,null,310,null,2491,null,734,null,3156,null,678,null,161,null,155,null,19467,null,1977,null,5306,null,998,null,1788,null,462,null,3232,null,921,null,1233,null,611,null,4786,null,893,null,2963,null,846,null,159,null,181,null,20198,null,3521,null,5983,null,1076,null,3174,null,938,null,3299,null,981,null,249,null,184,null,1904,null,792,null,3829,null,1420,null,1760,null,1586,null,0400000US02,Alaska,02
2873827,null,16529,null,944099,null,16011,null,542664,null,14612,null,780367,null,15698,null,12209,null,2579,null,325036,null,11257,null,262920,null,9058,null,6532,null,1625,null,2165002,null,20637,null,743749,null,14357,null,379152,null,11576,null,610681,null,14805,null,6755,null,1696,null,224540,null,9977,null,195171,null,6794,null,4954,null,1326,null,377077,null,13363,null,95227,null,5841,null,87348,null,7190,null,81305,null,5429,null,3541,null,1835,null,70277,null,6002,null,38808,null,4388,null,571,null,518,null,66779,null,5663,null,13147,null,1829,null,20176,null,3632,null,20551,null,3165,null,948,null,657,null,4583,null,1272,null,7374,null,2362,null,0,null,271,null,53643,null,4575,null,13475,null,2139,null,15042,null,2573,null,14672,null,2407,null,454,null,587,null,4600,null,1350,null,4904,null,1091,null,496,null,420,null,70304,null,5582,null,17062,null,2469,null,18014,null,2972,null,13662,null,2215,null,118,null,194,null,9737,null,2136,null,11292,null,2083,null,419,null,327,null,141022,null,6203,null,61439,null,4279,null,22932,null,2524,null,39496,null,3537,null,393,null,247,null,11299,null,2614,null,5371,null,1537,null,92,null,84,null,0400000US04,Arizona,04
1258196,null,11855,null,366309,null,9239,null,202042,null,7098,null,323076,null,8562,null,13730,null,1983,null,121928,null,4982,null,229123,null,8450,null,1988,null,822,null,1007134,null,12588,null,297483,null,8521,null,154986,null,5957,null,272060,null,7682,null,8853,null,1645,null,92014,null,4670,null,180288,null,7492,null,1450,null,733,null,160012,null,7223,null,40236,null,3189,null,27136,null,3768,null,32292,null,3039,null,3166,null,1116,null,22609,null,2507,null,34201,null,3357,null,372,null,332,null,5539,null,1494,null,1117,null,659,null,2021,null,988,null,357,null,257,null,0,null,271,null,370,null,292,null,1674,null,741,null,0,null,271,null,25347,null,2724,null,6839,null,1383,null,6879,null,1722,null,5490,null,1055,null,552,null,293,null,1888,null,837,null,3633,null,1278,null,66,null,110,null,18936,null,2242,null,3388,null,932,null,3844,null,1130,null,2225,null,738,null,827,null,436,null,2544,null,848,null,6050,null,1400,null,58,null,95,null,41228,null,3842,null,17246,null,2073,null,7176,null,1530,null,10652,null,1554,null,332,null,195,null,2503,null,962,null,3277,null,997,null,42,null,69,null,0400000US05,Arkansas,05
16811097,null,46380,null,5999811,null,35589,null,2947849,null,30204,null,4235545,null,34540,null,223515,null,12121,null,1454415,null,22272,null,1869496,null,27048,null,80466,null,5208,null,12228747,null,47546,null,4525907,null,32946,null,1964758,null,27081,null,3191195,null,30863,null,105365,null,5920,null,1044627,null,17873,null,1350861,null,21106,null,46034,null,4751,null,2009386,null,26836,null,561095,null,11876,null,359785,null,12972,null,451136,null,11426,null,84667,null,9239,null,266273,null,12124,null,276116,null,11925,null,10314,null,2212,null,884770,null,18628,null,262748,null,8729,null,232989,null,7696,null,224620,null,9366,null,5354,null,1483,null,44218,null,4662,null,112596,null,7801,null,2245,null,1389,null,469555,null,12678,null,143107,null,7513,null,129114,null,5975,null,110161,null,5836,null,8690,null,2515,null,26400,null,4355,null,40596,null,3819,null,11487,null,2532,null,413382,null,12328,null,130234,null,4722,null,97986,null,7727,null,74507,null,5168,null,14555,null,2836,null,37024,null,3956,null,56421,null,4674,null,2655,null,980,null,805257,null,18388,null,376720,null,12115,null,163217,null,8111,null,183926,null,6793,null,4884,null,1551,null,35873,null,4221,null,32906,null,3351,null,7731,null,2565,null,0400000US06,California,06
2540846,null,14808,null,964533,null,14642,null,414935,null,11052,null,627967,null,12317,null,13200,null,2269,null,270188,null,9411,null,234770,null,7855,null,15253,null,1735,null,1874591,null,14975,null,725495,null,12851,null,286678,null,10126,null,480066,null,10101,null,7391,null,1523,null,188931,null,6843,null,178405,null,7046,null,7625,null,1435,null,285782,null,11489,null,82247,null,5497,null,53762,null,4998,null,54412,null,4322,null,3244,null,1093,null,57455,null,5039,null,33344,null,3587,null,1318,null,752,null,87436,null,5960,null,27213,null,2472,null,24135,null,3225,null,22387,null,2804,null,649,null,632,null,6282,null,1735,null,6770,null,1509,null,0,null,271,null,68484,null,4611,null,20537,null,2381,null,17277,null,2166,null,16719,null,2414,null,669,null,437,null,5009,null,1566,null,4204,null,1105,null,4069,null,1096,null,62982,null,4016,null,25392,null,2713,null,11424,null,1558,null,13131,null,1673,null,109,null,147,null,5822,null,1611,null,7012,null,1416,null,92,null,150,null,161571,null,5613,null,83649,null,4138,null,21659,null,2406,null,41252,null,3089,null,1138,null,662,null,6689,null,1486,null,5035,null,1164,null,2149,null,882,null,0400000US08,Colorado,08
1735519,null,14783,null,684549,null,11083,null,294054,null,9507,null,435284,null,8508,null,3698,null,1142,null,135395,null,6467,null,179895,null,7801,null,2644,null,817,null,1381582,null,13655,null,564940,null,10326,null,212040,null,8085,null,351379,null,8052,null,1458,null,631,null,105921,null,5022,null,144134,null,5951,null,1710,null,690,null,154966,null,7185,null,45094,null,3763,null,33397,null,2923,null,36332,null,3015,null,1233,null,997,null,19501,null,2349,null,19230,null,2753,null,179,null,198,null,56238,null,4431,null,16058,null,2143,null,15770,null,2192,null,15260,null,2171,null,172,null,203,null,2663,null,1105,null,6208,null,1548,null,107,null,181,null,49970,null,4139,null,14958,null,2316,null,15827,null,2076,null,12575,null,1846,null,449,null,313,null,2294,null,711,null,3549,null,1031,null,318,null,209,null,21862,null,2635,null,6352,null,1258,null,5862,null,1665,null,4202,null,1109,null,53,null,89,null,2059,null,838,null,3282,null,932,null,52,null,86,null,70901,null,4363,null,37147,null,2838,null,11158,null,2266,null,15536,null,1894,null,333,null,229,null,2957,null,1142,null,3492,null,1290,null,278,null,199,null,0400000US09,Connecticut,09
425838,null,7387,null,163351,null,6080,null,67290,null,4484,null,109225,null,5978,null,1265,null,559,null,39677,null,3545,null,43369,null,3571,null,1661,null,610,null,338563,null,7670,null,133666,null,5500,null,49070,null,4247,null,88705,null,5348,null,719,null,461,null,30482,null,3169,null,34495,null,3196,null,1426,null,540,null,44360,null,3589,null,13999,null,1831,null,8410,null,1488,null,9488,null,1595,null,296,null,207,null,7706,null,1594,null,4243,null,1154,null,218,null,242,null,13946,null,2352,null,3308,null,988,null,3915,null,1220,null,4266,null,1042,null,0,null,271,null,514,null,408,null,1943,null,1048,null,0,null,271,null,9326,null,1606,null,4262,null,1439,null,1929,null,693,null,2315,null,932,null,98,null,118,null,88,null,146,null,617,null,366,null,17,null,50,null,7126,null,1335,null,1386,null,550,null,1762,null,806,null,1601,null,652,null,152,null,250,null,644,null,308,null,1581,null,579,null,0,null,271,null,12517,null,1613,null,6730,null,1299,null,2204,null,665,null,2850,null,660,null,0,null,271,null,243,null,204,null,490,null,366,null,0,null,271,null,0400000US10,Delaware,10
756816,null,11962,null,443459,null,10139,null,102699,null,5391,null,142023,null,5403,null,0,null,271,null,34248,null,3108,null,29052,null,3381,null,5335,null,912,null,339323,null,9050,null,193625,null,7337,null,46077,null,3593,null,58864,null,3448,null,0,null,271,null,20699,null,2388,null,17599,null,2805,null,2459,null,603,null,79993,null,5083,null,44107,null,3251,null,8523,null,1746,null,16197,null,2330,null,0,null,271,null,6766,null,1457,null,3783,null,1106,null,617,null,300,null,268924,null,8956,null,163038,null,6659,null,37440,null,3829,null,54777,null,4180,null,0,null,271,null,6156,null,1228,null,6267,null,1434,null,1246,null,469,null,37007,null,3226,null,23158,null,2421,null,5731,null,1299,null,7149,null,1623,null,0,null,271,null,280,null,278,null,602,null,476,null,87,null,110,null,17485,null,2537,null,10059,null,1699,null,3189,null,1147,null,2817,null,969,null,0,null,271,null,275,null,237,null,536,null,397,null,609,null,470,null,14084,null,1723,null,9472,null,1340,null,1739,null,722,null,2219,null,788,null,0,null,271,null,72,null,118,null,265,null,236,null,317,null,232,null,0400000US11,District of Columbia,11
8222779,null,29739,null,2682469,null,25391,null,1578169,null,22581,null,2321798,null,25262,null,59792,null,11137,null,832989,null,16515,null,723079,null,13892,null,24483,null,2594,null,6540791,null,33870,null,2214517,null,23677,null,1183871,null,19391,null,1890509,null,23006,null,24332,null,3323,null,625447,null,15761,null,584233,null,12752,null,17882,null,2446,null,847880,null,17144,null,213530,null,8144,null,196577,null,8853,null,207148,null,9463,null,15348,null,3491,null,136502,null,8282,null,77549,null,5803,null,1226,null,693,null,160373,null,11929,null,21881,null,2729,null,58516,null,4678,null,40627,null,3977,null,11954,null,12447,null,13204,null,2078,null,13947,null,2579,null,244,null,204,null,124293,null,8027,null,28556,null,3234,null,41355,null,4129,null,34205,null,3569,null,569,null,426,null,8434,null,1743,null,8933,null,1730,null,2241,null,1108,null,178897,null,9038,null,37548,null,3489,null,50361,null,4529,null,34525,null,3812,null,6278,null,1877,null,25160,null,3530,null,24461,null,2422,null,564,null,354,null,370545,null,10598,null,166437,null,6988,null,47489,null,5003,null,114784,null,6189,null,1311,null,632,null,24242,null,3393,null,13956,null,2077,null,2326,null,1135,null,0400000US12,Florida,12
