B05004_001E,B05004_001EA,B05004_001M,B05004_001MA,B05004_002E,B05004_002EA,B05004_002M,B05004_002MA,B05004_003E,B05004_003EA,B05004_003M,B05004_003MA,B05004_004E,B05004_004EA,B05004_004M,B05004_004MA,B05004_005E,B05004_005EA,B05004_005M,B05004_005MA,B05004_006E,B05004_006EA,B05004_006M,B05004_006MA,B05004_007E,B05004_007EA,B05004_007M,B05004_007MA,B05004_008E,B05004_008EA,B05004_008M,B05004_008MA,B05004_009E,B05004_009EA,B05004_009M,B05004_009MA,B05004_010E,B05004_010EA,B05004_010M,B05004_010MA,B05004_011E,B05004_011EA,B05004_011M,B05004_011MA,B05004_012E,B05004_012EA,B05004_012M,B05004_012MA,B05004_013E,B05004_013EA,B05004_013M,B05004_013MA,B05004_014E,B05004_014EA,B05004_014M,B05004_014MA,B05004_015E,B05004_015EA,B05004_015M,B05004_015MA,GEO_ID,NAME,state
37.4,null,0.2,null,35.8,null,0.2,null,39.0,null,0.2,null,37.6,null,0.1,null,36.0,null,0.2,null,39.1,null,0.2,null,34.2,null,1.0,null,32.7,null,1.6,null,36.4,null,1.4,null,47.1,null,1.7,null,45.0,null,2.1,null,50.7,null,3.2,null,30.6,null,0.8,null,29.5,null,1.2,null,32.3,null,1.3,null,0400000US01,Alabama,01
33.0,null,0.3,null,32.5,null,0.4,null,33.8,null,0.5,null,31.9,null,0.3,null,31.4,null,0.6,null,32.2,null,0.3,null,44.2,null,1.0,null,43.5,null,1.9,null,44.8,null,1.1,null,45.8,null,2.0,null,44.8,null,2.1,null,47.7,null,2.8,null,41.1,null,2.5,null,39.8,null,6.2,null,41.3,null,2.3,null,0400000US02,Alaska,02
35.1,null,0.1,null,33.9,null,0.2,null,36.5,null,0.1,null,34.1,null,0.2,null,32.8,null,0.2,null,35.5,null,0.2,null,38.1,null,0.4,null,36.7,null,0.7,null,39.7,null,0.6,null,49.4,null,0.8,null,47.9,null,1.5,null,50.6,null,1.0,null,34.0,null,0.4,null,33.7,null,0.4,null,34.7,null,0.7,null,0400000US04,Arizona,04
37.3,null,0.2,null,35.8,null,0.2,null,38.5,null,0.2,null,37.4,null,0.2,null,36.1,null,0.3,null,38.6,null,0.3,null,35.1,null,1.0,null,33.2,null,0.9,null,37.5,null,1.2,null,44.8,null,2.8,null,44.6,null,5.0,null,45.1,null,3.5,null,32.2,null,0.9,null,31.0,null,1.3,null,33.6,null,0.9,null,0400000US05,Arkansas,05
34.9,null,0.1,null,33.7,null,0.1,null,36.0,null,0.1,null,29.2,null,0.1,null,28.3,null,0.1,null,30.2,null,0.1,null,41.9,null,0.2,null,40.7,null,0.1,null,43.1,null,0.2,null,49.4,null,0.2,null,48.5,null,0.3,null,50.1,null,0.3,null,36.4,null,0.2,null,35.7,null,0.2,null,37.3,null,0.2,null,0400000US06,California,06
35.8,null,0.1,null,34.8,null,0.2,null,36.9,null,0.2,null,35.6,null,0.1,null,34.6,null,0.2,null,36.7,null,0.2,null,36.6,null,0.5,null,35.6,null,0.5,null,37.6,null,0.6,null,46.3,null,0.8,null,45.6,null,1.0,null,47.0,null,1.1,null,33.2,null,0.4,null,32.7,null,0.5,null,34.1,null,0.7,null,0400000US08,Colorado,08
39.3,null,0.1,null,37.8,null,0.3,null,40.7,null,0.2,null,38.5,null,0.2,null,36.9,null,0.3,null,39.9,null,0.3,null,42.6,null,0.5,null,41.5,null,0.7,null,43.9,null,0.7,null,50.2,null,0.8,null,49.0,null,1.2,null,51.1,null,1.3,null,36.4,null,0.6,null,35.8,null,0.7,null,37.3,null,1.4,null,0400000US09,Connecticut,09
38.3,null,0.3,null,36.9,null,0.3,null,39.2,null,0.4,null,38.4,null,0.3,null,37.0,null,0.5,null,39.5,null,0.5,null,37.0,null,1.7,null,36.6,null,1.2,null,38.1,null,2.0,null,49.5,null,2.1,null,49.2,null,2.7,null,50.2,null,3.0,null,32.3,null,1.5,null,32.3,null,1.5,null,32.2,null,2.6,null,0400000US10,Delaware,10
34.9,null,0.2,null,33.8,null,0.2,null,35.8,null,0.2,null,33.8,null,0.4,null,32.7,null,0.5,null,34.8,null,0.3,null,37.9,null,1.0,null,37.2,null,1.3,null,38.6,null,2.4,null,46.1,null,2.6,null,45.3,null,3.8,null,48.0,null,5.1,null,36.1,null,1.1,null,36.0,null,1.8,null,36.5,null,1.8,null,0400000US11,District of Columbia,11
40.3,null,0.1,null,38.7,null,0.1,null,41.9,null,0.1,null,38.4,null,0.2,null,36.9,null,0.2,null,40.0,null,0.2,null,45.0,null,0.2,null,43.5,null,0.3,null,46.5,null,0.3,null,52.9,null,0.4,null,51.8,null,0.5,null,53.9,null,0.5,null,37.9,null,0.3,null,37.0,null,0.4,null,38.9,null,0.4,null,0400000US12,Florida,12
35.0,null,0.1,null,33.6,null,0.1,null,36.2,null,0.1,null,34.6,null,0.2,null,33.0,null,0.2,null,35.9,null,0.2,null,36.7,null,0.4,null,35.9,null,0.3,null,37.9,null,0.5,null,44.9,null,0.5,null,45.1,null,0.6,null,44.8,null,0.7,null,33.3,null,0.4,null,32.6,null,0.5,null,34.3,null,0.6,null,0400000US13,Georgia,13
38.3,null,0.2,null,36.6,null,0.3,null,40.1,null,0.3,null,35.8,null,0.4,null,34.5,null,0.5,null,37.0,null,0.6,null,45.7,null,1.1,null,43.4,null,1.6,null,47.0,null,1.1,null,51.3,null,1.0,null,50.0,null,1.4,null,52.2,null,1.4,null,38.0,null,1.6,null,35.9,null,2.9,null,39.2,null,1.8,null,0400000US15,Hawaii,15
34.4,null,0.2,null,33.4,null,0.3,null,35.6,null,0.3,null,34.1,null,0.2,null,32.9,null,0.3,null,35.4,null,0.3,null,37.2,null,1.0,null,37.4,null,1.4,null,37.0,null,1.3,null,47.6,null,2.1,null,47.6,null,2.5,null,47.7,null,3.9,null,34.0,null,1.0,null,34.7,null,1.1,null,33.1,null,1.2,null,0400000US16,Idaho,16
36.0,null,0.2,null,34.7,null,0.1,null,37.4,null,0.2,null,34.6,null,0.2,null,32.9,null,0.2,null,36.2,null,0.2,null,40.4,null,0.3,null,39.7,null,0.3,null,41.4,null,0.4,null,48.9,null,0.4,null,48.2,null,0.5,null,49.5,null,0.6,null,35.1,null,0.3,null,34.9,null,0.4,null,35.3,null,0.4,null,0400000US17,Illinois,17
36.8,null,0.1,null,35.4,null,0.2,null,38.1,null,0.2,null,36.8,null,0.2,null,35.4,null,0.1,null,38.1,null,0.2,null,37.1,null,0.7,null,36.0,null,0.8,null,38.5,null,1.1,null,48.5,null,1.5,null,47.6,null,2.4,null,49.1,null,1.4,null,32.5,null,0.7,null,31.9,null,1.1,null,33.0,null,0.9,null,0400000US18,Indiana,18
38.2,null,0.2,null,36.8,null,0.2,null,39.6,null,0.3,null,38.4,null,0.2,null,37.0,null,0.2,null,39.8,null,0.3,null,35.2,null,0.9,null,34.3,null,1.7,null,36.0,null,1.1,null,43.1,null,2.0,null,41.2,null,2.7,null,45.1,null,2.6,null,32.1,null,1.0,null,31.6,null,1.5,null,32.5,null,1.0,null,0400000US19,Iowa,19
36.2,null,0.1,null,34.7,null,0.2,null,37.7,null,0.2,null,36.1,null,0.2,null,34.6,null,0.2,null,37.7,null,0.2,null,36.7,null,0.8,null,35.5,null,0.6,null,38.2,null,0.8,null,44.9,null,1.0,null,44.4,null,1.5,null,45.5,null,1.6,null,32.9,null,0.7,null,32.0,null,0.7,null,34.2,null,1.1,null,0400000US20,Kansas,20
37.8,null,0.3,null,36.6,null,0.2,null,39.1,null,0.2,null,37.9,null,0.1,null,36.6,null,0.3,null,39.2,null,0.2,null,37.0,null,0.8,null,36.5,null,1.1,null,37.5,null,1.1,null,44.0,null,1.8,null,42.2,null,2.5,null,46.4,null,3.1,null,33.7,null,1.1,null,33.5,null,1.6,null,33.9,null,1.2,null,0400000US21,Kentucky,21
35.9,null,0.1,null,34.1,null,0.2,null,37.5,null,0.2,null,35.5,null,0.1,null,33.6,null,0.2,null,37.2,null,0.2,null,42.0,null,1.3,null,39.6,null,1.1,null,45.0,null,2.1,null,51.1,null,1.4,null,48.5,null,2.5,null,52.4,null,1.9,null,35.4,null,0.8,null,35.4,null,1.1,null,35.5,null,1.3,null,0400000US22,Louisiana,22
41.9,null,0.2,null,40.8,null,0.4,null,42.8,null,0.2,null,41.6,null,0.2,null,40.7,null,0.3,null,42.4,null,0.2,null,49.2,null,2.2,null,47.2,null,3.4,null,50.7,null,3.2,null,58.0,null,2.5,null,55.7,null,4.5,null,58.9,null,3.4,null,40.2,null,4.2,null,36.2,null,2.9,null,43.3,null,2.9,null,0400000US23,Maine,23
