B12007_001E,B12007_001EA,B12007_001M,B12007_001MA,B12007_002E,B12007_002EA,B12007_002M,B12007_002MA,GEO_ID,NAME,state
26.9,null,0.5,null,25.2,null,0.3,null,0400000US01,Alabama,01
27.6,null,1.6,null,25.5,null,0.9,null,0400000US02,Alaska,02
28.0,null,0.7,null,26.0,null,0.3,null,0400000US04,Arizona,04
25.9,null,0.4,null,24.3,null,0.4,null,0400000US05,Arkansas,05
29.0,null,0.2,null,26.7,null,0.2,null,0400000US06,California,06
27.4,null,0.5,null,25.6,null,0.2,null,0400000US08,Colorado,08
29.4,null,0.3,null,28.2,null,0.4,null,0400000US09,Connecticut,09
28.5,null,0.9,null,26.3,null,0.6,null,0400000US10,Delaware,10
31.5,null,2.6,null,29.7,null,0.9,null,0400000US11,District of Columbia,11
28.7,null,0.4,null,26.4,null,0.3,null,0400000US12,Florida,12
27.5,null,0.4,null,25.9,null,0.2,null,0400000US13,Georgia,13
28.5,null,0.8,null,26.8,null,1.1,null,0400000US15,Hawaii,15
25.4,null,0.4,null,23.5,null,0.8,null,0400000US16,Idaho,16
28.6,null,0.3,null,26.8,null,0.3,null,0400000US17,Illinois,17
26.9,null,0.4,null,25.8,null,0.2,null,0400000US18,Indiana,18
26.8,null,0.3,null,25.5,null,0.2,null,0400000US19,Iowa,19
26.1,null,0.3,null,24.9,null,0.3,null,0400000US20,Kansas,20
26.9,null,0.5,null,25.0,null,0.2,null,0400000US21,Kentucky,21
27.2,null,0.5,null,25.6,null,0.3,null,0400000US22,Louisiana,22
28.6,null,0.8,null,26.5,null,0.5,null,0400000US23,Maine,23
29.2,null,0.3,null,27.3,null,0.5,null,0400000US24,Maryland,24
29.8,null,0.3,null,28.2,null,0.4,null,0400000US25,Massachusetts,25
28.6,null,0.3,null,26.6,null,0.2,null,0400000US26,Michigan,26
27.4,null,0.3,null,26.0,null,0.2,null,0400000US27,Minnesota,27
26.4,null,0.4,null,26.0,null,0.4,null,0400000US28,Mississippi,28
26.9,null,0.4,null,25.6,null,0.2,null,0400000US29,Missouri,29
28.6,null,1.2,null,25.5,null,0.6,null,0400000US30,Montana,30
26.5,null,0.4,null,25.3,null,0.3,null,0400000US31,Nebraska,31
27.9,null,0.7,null,25.7,null,0.4,null,0400000US32,Nevada,32
29.3,null,0.9,null,26.5,null,0.5,null,0400000US33,New Hampshire,33
29.8,null,0.2,null,27.6,null,0.3,null,0400000US34,New Jersey,34
28.3,null,0.8,null,26.2,null,0.7,null,0400000US35,New Mexico,35
30.0,null,0.2,null,28.1,null,0.3,null,0400000US36,New York,36
27.3,null,0.4,null,26.2,null,0.3,null,0400000US37,North Carolina,37
27.7,null,1.0,null,25.4,null,0.5,null,0400000US38,North Dakota,38
27.4,null,0.3,null,26.3,null,0.2,null,0400000US39,Ohio,39
25.7,null,0.2,null,24.4,null,0.3,null,0400000US40,Oklahoma,40
27.6,null,0.6,null,25.9,null,0.3,null,0400000US41,Oregon,41
28.5,null,0.3,null,26.8,null,0.2,null,0400000US42,Pennsylvania,42
30.3,null,0.7,null,27.8,null,1.0,null,0400000US44,Rhode Island,44
27.8,null,0.5,null,26.7,null,0.5,null,0400000US45,South Carolina,45
26.3,null,0.6,null,25.4,null,0.5,null,0400000US46,South Dakota,46
26.7,null,0.4,null,25.0,null,0.2,null,0400000US47,Tennessee,47
26.9,null,0.2,null,25.3,null,0.2,null,0400000US48,Texas,48
26.1,null,0.4,null,23.5,null,0.5,null,0400000US49,Utah,49
28.4,null,1.4,null,27.1,null,1.2,null,0400000US50,Vermont,50
27.4,null,0.4,null,26.0,null,0.3,null,0400000US51,Virginia,51
27.5,null,0.4,null,25.7,null,0.2,null,0400000US53,Washington,53
26.5,null,0.5,null,24.6,null,0.5,null,0400000US54,West Virginia,54
27.5,null,0.4,null,26.1,null,0.2,null,0400000US55,Wisconsin,55
28.3,null,0.9,null,24.5,null,1.1,null,0400000US56,Wyoming,56
28.5,null,0.7,null,27.1,null,0.6,null,0400000US72,Puerto Rico,72
