B01002B_001E,B01002B_001EA,B01002B_001M,B01002B_001MA,B01002B_002E,B01002B_002EA,B01002B_002M,B01002B_002MA,B01002B_003E,B01002B_003EA,B01002B_003M,B01002B_003MA,GEO_ID,NAME,state
31.6,null,0.3,null,29.4,null,0.4,null,33.9,null,0.4,null,0400000US01,Alabama,01
26.3,null,1.8,null,25.8,null,1.9,null,28.9,null,5.4,null,0400000US02,Alaska,02
30.0,null,0.8,null,29.3,null,1.0,null,30.6,null,1.1,null,0400000US04,Arizona,04
29.9,null,0.5,null,27.3,null,0.8,null,32.6,null,0.5,null,0400000US05,Arkansas,05
33.5,null,0.3,null,31.6,null,0.3,null,35.4,null,0.3,null,0400000US06,California,06
31.8,null,0.8,null,32.3,null,1.3,null,31.4,null,1.0,null,0400000US08,Colorado,08
32.4,null,0.6,null,30.2,null,0.7,null,34.5,null,0.6,null,0400000US09,Connecticut,09
32.1,null,0.6,null,30.4,null,0.9,null,34.0,null,0.6,null,0400000US10,Delaware,10
37.8,null,0.5,null,34.8,null,0.7,null,39.8,null,0.8,null,0400000US11,District of Columbia,11
30.9,null,0.2,null,29.2,null,0.3,null,32.6,null,0.3,null,0400000US12,Florida,12
31.3,null,0.3,null,29.4,null,0.2,null,33.0,null,0.2,null,0400000US13,Georgia,13
27.5,null,3.3,null,26.6,null,4.2,null,27.8,null,4.9,null,0400000US15,Hawaii,15
20.5,null,2.4,null,20.6,null,3.9,null,19.6,null,18.1,null,0400000US16,Idaho,16
31.9,null,0.3,null,29.4,null,0.3,null,34.0,null,0.4,null,0400000US17,Illinois,17
31.3,null,0.4,null,29.5,null,0.7,null,33.0,null,0.6,null,0400000US18,Indiana,18
26.2,null,1.3,null,25.6,null,2.2,null,26.8,null,1.9,null,0400000US19,Iowa,19
29.8,null,1.4,null,28.8,null,0.9,null,31.5,null,1.4,null,0400000US20,Kansas,20
33.2,null,0.8,null,31.4,null,0.8,null,34.9,null,1.1,null,0400000US21,Kentucky,21
29.9,null,0.2,null,27.8,null,0.4,null,32.2,null,0.4,null,0400000US22,Louisiana,22
21.4,null,2.8,null,21.4,null,5.1,null,21.3,null,4.0,null,0400000US23,Maine,23
34.4,null,0.3,null,32.4,null,0.4,null,36.4,null,0.4,null,0400000US24,Maryland,24
30.7,null,0.4,null,29.0,null,0.6,null,33.0,null,0.8,null,0400000US25,Massachusetts,25
32.7,null,0.3,null,30.4,null,0.5,null,34.7,null,0.2,null,0400000US26,Michigan,26
27.1,null,0.6,null,26.8,null,1.1,null,27.3,null,0.7,null,0400000US27,Minnesota,27
29.5,null,0.2,null,27.3,null,0.4,null,31.8,null,0.5,null,0400000US28,Mississippi,28
31.6,null,0.6,null,28.9,null,0.7,null,33.9,null,0.8,null,0400000US29,Missouri,29
20.6,null,1.5,null,20.6,null,2.9,null,20.9,null,8.7,null,0400000US30,Montana,30
29.0,null,1.0,null,26.8,null,2.2,null,30.3,null,1.3,null,0400000US31,Nebraska,31
32.2,null,0.7,null,30.8,null,0.7,null,33.7,null,1.3,null,0400000US32,Nevada,32
28.0,null,4.5,null,28.5,null,4.3,null,25.7,null,8.7,null,0400000US33,New Hampshire,33
33.8,null,0.3,null,31.6,null,0.4,null,35.6,null,0.3,null,0400000US34,New Jersey,34
29.7,null,1.9,null,29.5,null,2.1,null,29.9,null,3.8,null,0400000US35,New Mexico,35
33.3,null,0.3,null,30.5,null,0.3,null,35.9,null,0.2,null,0400000US36,New York,36
33.7,null,0.3,null,30.9,null,0.4,null,35.9,null,0.3,null,0400000US37,North Carolina,37
23.7,null,1.6,null,24.3,null,1.8,null,22.9,null,1.7,null,0400000US38,North Dakota,38
32.1,null,0.3,null,29.8,null,0.4,null,34.2,null,0.4,null,0400000US39,Ohio,39
31.5,null,1.3,null,29.9,null,1.0,null,32.6,null,0.9,null,0400000US40,Oklahoma,40
31.3,null,1.9,null,31.6,null,2.0,null,30.3,null,3.3,null,0400000US41,Oregon,41
32.5,null,0.3,null,30.1,null,0.4,null,34.6,null,0.4,null,0400000US42,Pennsylvania,42
29.6,null,1.1,null,28.8,null,1.5,null,32.2,null,3.6,null,0400000US44,Rhode Island,44
33.2,null,0.4,null,30.4,null,0.4,null,35.7,null,0.3,null,0400000US45,South Carolina,45
23.6,null,5.8,null,29.4,null,8.1,null,17.1,null,5.3,null,0400000US46,South Dakota,46
31.5,null,0.4,null,29.3,null,0.4,null,33.9,null,0.4,null,0400000US47,Tennessee,47
31.1,null,0.3,null,29.4,null,0.2,null,32.9,null,0.3,null,0400000US48,Texas,48
20.0,null,2.8,null,25.6,null,2.7,null,16.6,null,2.8,null,0400000US49,Utah,49
22.5,null,2.9,null,22.6,null,4.6,null,22.2,null,13.8,null,0400000US50,Vermont,50
34.2,null,0.3,null,32.0,null,0.6,null,36.1,null,0.4,null,0400000US51,Virginia,51
31.0,null,0.6,null,31.1,null,0.7,null,31.0,null,1.2,null,0400000US53,Washington,53
34.1,null,3.0,null,31.3,null,2.0,null,38.2,null,4.2,null,0400000US54,West Virginia,54
28.2,null,0.6,null,26.4,null,0.5,null,30.1,null,0.6,null,0400000US55,Wisconsin,55
31.2,null,8.6,null,31.3,null,8.9,null,31.2,null,17.0,null,0400000US56,Wyoming,56
37.0,null,1.2,null,36.5,null,1.6,null,37.6,null,1.6,null,0400000US72,Puerto Rico,72
