GEO_ID,B12007_001E,B12007_001M,B12007_002E,B12007_002M,NAME,B12007_001EA,B12007_001MA,B12007_002EA,B12007_002MA,state
0400000US06,30.0,0.1,27.9,0.2,California,null,null,null,null,06
0400000US08,28.1,0.6,26.5,0.4,Colorado,null,null,null,null,08
0400000US09,30.3,0.4,28.7,0.5,Connecticut,null,null,null,null,09
0400000US10,29.7,0.5,27.6,0.9,Delaware,null,null,null,null,10
0400000US11,30.2,0.7,29.8,0.5,District of Columbia,null,null,null,null,11
0400000US12,29.9,0.3,27.8,0.3,Florida,null,null,null,null,12
0400000US13,29.0,0.3,26.8,0.4,Georgia,null,null,null,null,13
0400000US15,28.4,0.9,26.9,1.0,Hawaii,null,null,null,null,15
0400000US16,26.3,0.6,24.4,0.4,Idaho,null,null,null,null,16
0400000US17,29.7,0.2,28.2,0.3,Illinois,null,null,null,null,17
0400000US18,27.8,0.4,26.3,0.3,Indiana,null,null,null,null,18
0400000US19,27.6,0.5,26.1,0.3,Iowa,null,null,null,null,19
0400000US20,27.0,0.5,25.7,0.3,Kansas,null,null,null,null,20
0400000US21,27.3,0.4,25.6,0.3,Kentucky,null,null,null,null,21
0400000US22,28.9,0.6,27.1,0.4,Louisiana,null,null,null,null,22
0400000US23,28.7,0.8,26.4,0.5,Maine,null,null,null,null,23
0400000US24,29.7,0.3,28.1,0.5,Maryland,null,null,null,null,24
0400000US25,30.7,0.3,29.2,0.3,Massachusetts,null,null,null,null,25
0400000US26,29.5,0.3,27.5,0.3,Michigan,null,null,null,null,26
0400000US27,28.8,0.3,26.6,0.3,Minnesota,null,null,null,null,27
0400000US28,28.4,0.7,26.4,0.4,Mississippi,null,null,null,null,28
0400000US29,27.8,0.4,26.5,0.3,Missouri,null,null,null,null,29
0400000US30,28.5,1.0,26.1,0.5,Montana,null,null,null,null,30
0400000US31,27.3,0.6,25.8,0.3,Nebraska,null,null,null,null,31
0400000US32,28.4,1.2,26.8,0.6,Nevada,null,null,null,null,32
0400000US33,29.7,0.5,27.1,0.6,New Hampshire,null,null,null,null,33
0400000US34,30.6,0.2,28.4,0.4,New Jersey,null,null,null,null,34
0400000US35,26.9,0.8,26.3,0.5,New Mexico,null,null,null,null,35
0400000US36,30.9,0.2,29.3,0.2,New York,null,null,null,null,36
0400000US37,28.3,0.4,26.6,0.3,North Carolina,null,null,null,null,37
0400000US38,27.3,1.2,25.8,0.5,North Dakota,null,null,null,null,38
0400000US39,29.0,0.3,27.1,0.3,Ohio,null,null,null,null,39
0400000US40,26.6,0.3,25.3,0.2,Oklahoma,null,null,null,null,40
0400000US41,29.1,0.5,27.6,0.6,Oregon,null,null,null,null,41
0400000US42,29.8,0.2,27.7,0.3,Pennsylvania,null,null,null,null,42
0400000US44,31.6,0.9,29.5,0.7,Rhode Island,null,null,null,null,44
0400000US45,28.3,0.6,26.8,0.4,South Carolina,null,null,null,null,45
0400000US46,28.3,0.7,25.7,0.6,South Dakota,null,null,null,null,46
0400000US47,27.9,0.5,26.1,0.3,Tennessee,null,null,null,null,47
0400000US48,27.8,0.2,26.1,0.2,Texas,null,null,null,null,48
0400000US49,26.2,0.4,24.1,0.4,Utah,null,null,null,null,49
0400000US50,30.6,1.0,28.8,0.8,Vermont,null,null,null,null,50
0400000US51,28.7,0.4,26.8,0.3,Virginia,null,null,null,null,51
0400000US53,28.1,0.5,26.3,0.3,Washington,null,null,null,null,53
0400000US54,27.1,0.7,25.7,0.4,West Virginia,null,null,null,null,54
0400000US55,28.6,0.4,27.0,0.3,Wisconsin,null,null,null,null,55
0400000US56,26.9,1.2,25.0,0.8,Wyoming,null,null,null,null,56
0400000US72,30.0,0.4,28.3,0.6,Puerto Rico,null,null,null,null,72
0400000US01,27.7,0.5,26.0,0.3,Alabama,null,null,null,null,01
0400000US02,28.7,1.2,25.5,0.6,Alaska,null,null,null,null,02
0400000US04,28.8,0.4,27.3,0.6,Arizona,null,null,null,null,04
0400000US05,26.9,0.6,25.2,0.4,Arkansas,null,null,null,null,05
