GEO_ID,S2408_C01_001E,S2408_C01_001M,S2408_C01_002E,S2408_C01_002M,S2408_C01_003E,S2408_C01_003M,S2408_C01_004E,S2408_C01_004M,S2408_C01_005E,S2408_C01_005M,S2408_C01_006E,S2408_C01_006M,S2408_C01_007E,S2408_C01_007M,S2408_C01_008E,S2408_C01_008M,S2408_C01_009E,S2408_C01_009M,S2408_C01_010E,S2408_C01_010M,S2408_C02_001E,S2408_C02_001M,S2408_C02_002E,S2408_C02_002M,S2408_C02_003E,S2408_C02_003M,S2408_C02_004E,S2408_C02_004M,S2408_C02_005E,S2408_C02_005M,S2408_C02_006E,S2408_C02_006M,S2408_C02_007E,S2408_C02_007M,S2408_C02_008E,S2408_C02_008M,S2408_C02_009E,S2408_C02_009M,S2408_C02_010E,S2408_C02_010M,S2408_C03_001E,S2408_C03_001M,S2408_C03_002E,S2408_C03_002M,S2408_C03_003E,S2408_C03_003M,S2408_C03_004E,S2408_C03_004M,S2408_C03_005E,S2408_C03_005M,S2408_C03_006E,S2408_C03_006M,S2408_C03_007E,S2408_C03_007M,S2408_C03_008E,S2408_C03_008M,S2408_C03_009E,S2408_C03_009M,S2408_C03_010E,S2408_C03_010M,S2408_C04_001E,S2408_C04_001M,S2408_C04_002E,S2408_C04_002M,S2408_C04_003E,S2408_C04_003M,S2408_C04_004E,S2408_C04_004M,S2408_C04_005E,S2408_C04_005M,S2408_C04_006E,S2408_C04_006M,S2408_C04_007E,S2408_C04_007M,S2408_C04_008E,S2408_C04_008M,S2408_C04_009E,S2408_C04_009M,S2408_C04_010E,S2408_C04_010M,S2408_C05_001E,S2408_C05_001M,S2408_C05_002E,S2408_C05_002M,S2408_C05_003E,S2408_C05_003M,S2408_C05_004E,S2408_C05_004M,S2408_C05_005E,S2408_C05_005M,S2408_C05_006E,S2408_C05_006M,S2408_C05_007E,S2408_C05_007M,S2408_C05_008E,S2408_C05_008M,S2408_C05_009E,S2408_C05_009M,S2408_C05_010E,S2408_C05_010M,S2408_C06_001E,S2408_C06_001M,S2408_C06_002E,S2408_C06_002M,S2408_C06_003E,S2408_C06_003M,S2408_C06_004E,S2408_C06_004M,S2408_C06_005E,S2408_C06_005M,S2408_C06_006E,S2408_C06_006M,S2408_C06_007E,S2408_C06_007M,S2408_C06_008E,S2408_C06_008M,S2408_C06_009E,S2408_C06_009M,S2408_C06_010E,S2408_C06_010M,NAME,S2408_C01_001EA,S2408_C01_001MA,S2408_C01_002EA,S2408_C01_002MA,S2408_C01_003EA,S2408_C01_003MA,S2408_C01_004MA,S2408_C01_004EA,S2408_C01_005MA,S2408_C01_005EA,S2408_C01_006EA,S2408_C01_006MA,S2408_C01_007MA,S2408_C01_007EA,S2408_C01_008MA,S2408_C01_008EA,S2408_C01_009EA,S2408_C01_009MA,S2408_C01_010EA,S2408_C01_010MA,S2408_C02_001MA,S2408_C02_001EA,S2408_C02_002EA,S2408_C02_002MA,S2408_C02_003EA,S2408_C02_003MA,S2408_C02_004EA,S2408_C02_004MA,S2408_C02_005MA,S2408_C02_005EA,S2408_C02_006MA,S2408_C02_006EA,S2408_C02_007EA,S2408_C02_007MA,S2408_C02_008EA,S2408_C02_008MA,S2408_C02_009MA,S2408_C02_009EA,S2408_C02_010MA,S2408_C02_010EA,S2408_C03_001EA,S2408_C03_001MA,S2408_C03_002EA,S2408_C03_002MA,S2408_C03_003EA,S2408_C03_003MA,S2408_C03_004MA,S2408_C03_004EA,S2408_C03_005EA,S2408_C03_005MA,S2408_C03_006EA,S2408_C03_006MA,S2408_C03_007EA,S2408_C03_007MA,S2408_C03_008MA,S2408_C03_008EA,S2408_C03_009EA,S2408_C03_009MA,S2408_C03_010EA,S2408_C03_010MA,S2408_C04_001EA,S2408_C04_001MA,S2408_C04_002EA,S2408_C04_002MA,S2408_C04_003EA,S2408_C04_003MA,S2408_C04_004MA,S2408_C04_004EA,S2408_C04_005EA,S2408_C04_005MA,S2408_C04_006EA,S2408_C04_006MA,S2408_C04_007EA,S2408_C04_007MA,S2408_C04_008EA,S2408_C04_008MA,S2408_C04_009EA,S2408_C04_009MA,S2408_C04_010MA,S2408_C04_010EA,S2408_C05_001MA,S2408_C05_001EA,S2408_C05_002MA,S2408_C05_002EA,S2408_C05_003EA,S2408_C05_003MA,S2408_C05_004EA,S2408_C05_004MA,S2408_C05_005MA,S2408_C05_005EA,S2408_C05_006MA,S2408_C05_006EA,S2408_C05_007EA,S2408_C05_007MA,S2408_C05_008EA,S2408_C05_008MA,S2408_C05_009MA,S2408_C05_009EA,S2408_C05_010MA,S2408_C05_010EA,S2408_C06_001MA,S2408_C06_001EA,S2408_C06_002EA,S2408_C06_002MA,S2408_C06_003MA,S2408_C06_003EA,S2408_C06_004MA,S2408_C06_004EA,S2408_C06_005MA,S2408_C06_005EA,S2408_C06_006EA,S2408_C06_006MA,S2408_C06_007MA,S2408_C06_007EA,S2408_C06_008MA,S2408_C06_008EA,S2408_C06_009EA,S2408_C06_009MA,S2408_C06_010MA,S2408_C06_010EA,state
0400000US01,1978825,16252,1400251,13854,1339956,14087,60295,4255,129226,5602,149545,6995,115060,5991,72144,4412,112599,5577,6.7,-888888888.0,52.4,0.4,55.0,0.6,54.1,0.6,73.5,2.5,33.7,2.0,43.0,2.2,37.4,2.1,54.3,2.8,67.8,2.0,-888888888,-888888888,47.6,0.4,45.0,0.6,45.9,0.6,26.5,2.5,66.3,2.0,57.0,2.2,62.6,2.1,45.7,2.8,32.2,2.0,-888888888,-888888888,28849,569,26882,296,26505,301,42328,3434,29384,2312,36138,1059,37012,1314,52487,3273,21471,872,-888888888,-888888888,34592,1056,32395,600,32002,400,51262,1996,37327,3852,38313,1581,40993,2212,65105,5520,26692,1274,-888888888,-888888888,23664,499,21733,325,21622,329,30510,6224,25518,1375,33830,2387,35554,1664,44230,3167,15215,1812,-888888888,-888888888,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),01
0400000US02,337683,5648,191456,5785,180874,5929,10582,1918,32830,2929,31213,2754,32298,2489,28548,3143,21338,2110,5.3,-888888888.0,53.7,0.7,58.8,1.6,58.2,1.6,69.1,5.8,31.3,3.4,42.8,3.6,46.6,4.1,61.7,4.0,58.6,5.5,-888888888,-888888888,46.3,0.7,41.2,1.6,41.8,1.6,30.9,5.8,68.7,3.4,57.2,3.6,53.4,4.1,38.3,4.0,41.4,5.5,-888888888,-888888888,38658,1714,33993,2940,32310,1642,63129,10616,35067,3574,38295,5492,53614,3342,58022,5564,28600,6353,-888888888,-888888888,47515,3203,41752,1192,40978,1278,71906,6997,35922,3538,50681,3112,60681,1514,62383,5294,35537,12118,-888888888,-888888888,30941,888,26258,1299,25860,1398,46288,11905,33669,4242,32684,3121,45620,4912,45680,3325,18466,3116,-888888888,-888888888,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),02
0400000US04,2655557,20625,1898131,21534,1799852,20764,98279,5801,174434,7127,213616,7675,125302,6172,80597,5568,163477,7953,8.0,-888888888.0,52.9,0.3,55.5,0.5,54.8,0.5,68.0,2.8,34.9,2.2,44.4,1.5,41.7,2.3,57.8,2.9,59.0,1.8,-888888888,-888888888,47.1,0.3,44.5,0.5,45.2,0.5,32.0,2.8,65.1,2.2,55.6,1.5,58.3,2.3,42.2,2.9,41.0,1.8,-888888888,-888888888,31191,221,30333,267,30068,361,41070,1477,35011,2514,37983,1243,36986,1131,49777,2116,20409,1036,-888888888,-888888888,35915,444,34882,1130,33374,1304,49971,3084,35411,3562,44197,2431,42731,2090,52332,2453,24894,1902,-888888888,-888888888,26859,304,25380,382,25320,390,26827,2928,34483,2671,34367,1692,33385,1862,42167,3168,15349,1524,-888888888,-888888888,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),04
0400000US05,1245328,11343,858390,11466,817894,12184,40496,3072,87148,4546,77598,4025,106589,4594,33444,2972,82159,4742,4.7,-888888888.0,51.7,0.4,55.2,0.7,54.5,0.7,70.6,3.2,34.4,2.5,40.1,3.2,32.8,2.4,57.9,4.2,66.6,2.7,-888888888,-888888888,48.3,0.4,44.8,0.7,45.5,0.7,29.4,3.2,65.6,2.5,59.9,3.2,67.2,2.4,42.1,4.2,33.4,2.7,-888888888,-888888888,26445,297,25603,425,25332,437,37193,4230,26802,1630,31166,1192,34435,2208,45994,3100,20003,2177,-888888888,-888888888,31534,410,31181,456,30832,465,42422,4612,31511,2874,36094,1648,39765,4281,50234,4719,23924,2389,-888888888,-888888888,22003,305,20715,388,20689,389,21518,2927,25374,1824,27950,2780,31927,1530,38103,6884,13715,1458,-888888888,-888888888,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),05
0400000US06,16243172,45906,11353955,46050,10799410,46244,554545,13342,1081058,18434,1354054,19263,692542,17772,370826,11425,1390737,23768,6.2,-888888888.0,53.8,0.1,57.0,0.2,56.3,0.2,70.0,0.8,37.3,0.8,39.7,0.6,41.9,1.0,58.8,1.2,59.3,0.7,-888888888,-888888888,46.2,0.1,43.0,0.2,43.7,0.2,30.0,0.8,62.7,0.8,60.3,0.6,58.1,1.0,41.2,1.2,40.7,0.7,-888888888,-888888888,33016,357,31371,123,30875,125,52780,2455,38841,1006,48742,1036,45401,1073,52552,769,23427,638,-888888888,-888888888,37732,472,35985,211,35100,219,61857,585,41220,808,60506,613,56643,2090,55855,977,30222,374,-888888888,-888888888,29599,368,26601,213,26350,214,37836,2722,37326,645,41612,452,38754,1287,49182,2099,17306,583,-888888888,-888888888,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),06
0400000US08,2446674,15959,1718982,14538,1592965,14237,126017,6029,182333,6899,186692,6323,99632,5901,79070,4731,179965,6772,5.9,-888888888.0,53.1,0.3,56.2,0.4,55.2,0.5,68.8,1.5,35.1,1.9,40.5,1.7,44.2,2.6,59.5,2.6,56.0,1.7,-888888888,-888888888,46.9,0.3,43.8,0.4,44.8,0.5,31.2,1.5,64.9,1.9,59.5,1.7,55.8,2.6,40.5,2.6,44.0,1.7,-888888888,-888888888,33577,628,32398,339,31909,289,46335,2420,34928,1501,40477,856,37677,2337,54269,2046,21600,859,-888888888,-888888888,40394,358,40029,766,38099,1216,51177,881,39938,2898,49758,2089,40452,3171,57316,3960,27963,2098,-888888888,-888888888,28313,649,26716,388,26450,423,32136,1960,32520,1586,34820,1685,36188,1825,50518,2410,14634,1394,-888888888,-888888888,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),08
0400000US09,1736446,9985,1206508,13192,1145715,12746,60793,3460,171390,7091,137687,6385,75125,3860,27936,2609,117800,6062,5.3,-888888888.0,51.3,0.3,54.2,0.6,53.2,0.6,74.1,2.5,32.3,1.8,37.9,1.9,46.1,2.9,71.7,4.6,62.4,2.3,-888888888,-888888888,48.7,0.3,45.8,0.6,46.8,0.6,25.9,2.5,67.7,1.8,62.1,1.9,53.9,2.9,28.3,4.6,37.6,2.3,-888888888,-888888888,40588,368,39931,811,38842,1017,56330,7403,40208,1111,47343,1890,53005,2057,60914,2075,26655,1267,-888888888,-888888888,49131,1390,48630,1797,47117,851,67420,7230,45596,4529,55776,3092,58585,3261,61780,2949,32233,2939,-888888888,-888888888,32462,713,31144,490,31122,490,32342,5283,37858,1826,41404,1619,50516,1850,54421,5452,19846,1981,-888888888,-888888888,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),09
0400000US10,411120,6925,295688,6963,281473,6889,14215,2046,37336,3145,17037,1939,35172,3119,9317,1598,16570,2111,5.5,-888888888.0,49.6,0.8,52.9,1.2,51.8,1.2,76.1,4.1,31.7,3.7,41.7,5.1,36.5,3.7,62.2,8.0,60.2,5.1,-888888888,-888888888,50.4,0.8,47.1,1.2,48.2,1.2,23.9,4.1,68.3,3.7,58.3,5.1,63.5,3.7,37.8,8.0,39.8,5.1,-888888888,-888888888,35232,688,32598,1496,32167,664,49642,7544,35211,3880,42485,3016,40141,2315,55512,6250,22387,7063,-888888888,-888888888,40853,906,40244,1985,38771,2972,52298,13675,40288,5299,47065,5314,45588,6541,60988,8474,29684,2427,-888888888,-888888888,30701,649,27047,1003,27047,1011,27040,9870,32463,3097,40359,3322,38244,2901,46006,12124,14367,4201,-888888888,-888888888,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),10
0400000US11,299127,4978,148066,4914,141855,4910,6211,1339,54230,3521,18236,2182,5917,1280,58431,3932,14247,1559,9.8,-888888888.0,48.4,0.9,54.1,1.7,53.6,1.7,66.6,10.1,37.5,3.1,38.5,5.3,45.1,10.2,45.9,3.4,54.8,5.7,-888888888,-888888888,51.6,0.9,45.9,1.7,46.4,1.7,33.4,10.1,62.5,3.1,61.5,5.3,54.9,10.2,54.1,3.4,45.2,5.7,-888888888,-888888888,47210,1239,39236,3169,38310,3170,60221,22249,49510,3237,50902,5119,48203,10000,71820,2913,27493,7068,-888888888,-888888888,50312,2008,44383,3017,43596,2981,58313,19184,51546,7697,55474,6014,51017,18606,76479,6681,35233,9466,-888888888,-888888888,45484,1648,34324,4142,33052,4268,66514,61109,47617,3727,46971,5374,40750,15987,67940,5047,25614,4771,-888888888,-888888888,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),11
0400000US12,7974945,26843,5911393,32260,5439664,32336,471729,11669,504840,13155,629709,13850,254734,10068,188661,7212,485608,13561,7.9,-888888888.0,51.3,0.2,53.4,0.3,51.8,0.3,70.9,1.1,34.2,1.2,41.5,0.9,42.5,1.8,59.1,1.9,58.8,1.3,-888888888,-888888888,48.7,0.2,46.6,0.3,48.2,0.3,29.1,1.1,65.8,1.2,58.5,0.9,57.5,1.8,40.9,1.9,41.2,1.3,-888888888,-888888888,28802,304,26981,167,26430,167,38413,2298,31384,409,40123,390,36460,663,50485,744,17139,520,-888888888,-888888888,31903,183,31092,225,30376,246,41773,676,34137,1954,43680,1348,40156,1265,52585,1560,21148,682,-888888888,-888888888,25710,215,23773,363,23463,372,30552,902,30608,492,37299,548,34632,1328,43674,2820,13890,978,-888888888,-888888888,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),12
0400000US13,4165453,21585,2985680,25304,2808460,25467,177220,7557,253040,9356,328116,9054,208635,8907,142676,6005,247306,8860,7.6,-888888888.0,51.7,0.3,54.7,0.4,53.7,0.4,71.1,1.6,37.0,1.3,37.3,1.2,35.1,1.8,55.2,2.1,62.1,1.6,-888888888,-888888888,48.3,0.3,45.3,0.4,46.3,0.4,28.9,1.6,63.0,1.3,62.7,1.2,64.9,1.8,44.8,2.1,37.9,1.6,-888888888,-888888888,30722,179,30086,243,29334,484,41381,1285,31045,693,36989,759,32164,1025,51680,727,20549,660,-888888888,-888888888,35844,311,35706,436,35062,775,49027,3413,36295,1500,40011,1663,36893,2059,52453,2461,22632,1644,-888888888,-888888888,26258,315,24443,496,24163,508,31394,1167,28890,1356,35222,1411,30813,1055,50755,1037,15734,883,-888888888,-888888888,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),13
0400000US15,638191,8660,399258,9379,375792,8922,23466,2806,47578,3529,26322,2738,67073,4176,46963,5539,50997,3883,6.9,-888888888.0,51.2,0.6,52.8,0.9,52.3,1.0,60.6,6.1,38.7,3.2,59.0,4.7,35.8,2.5,60.1,3.7,58.7,3.3,-888888888,-888888888,48.8,0.6,47.2,0.9,47.7,1.0,39.4,6.1,61.3,3.2,41.0,4.7,64.2,2.5,39.9,3.7,41.3,3.3,-888888888,-888888888,32102,420,30263,471,29820,990,41832,4199,35442,2719,44374,3233,41658,1301,50394,2674,25249,2314,-888888888,-888888888,37442,1807,33342,2005,32400,1403,50399,10324,38910,4294,48892,2164,48849,3309,59721,5539,30344,4538,-888888888,-888888888,29335,984,25993,637,25703,664,37833,8059,33049,3547,39979,2908,36870,2294,42521,4506,20664,2627,-888888888,-888888888,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),15
0400000US16,681907,8831,480011,8615,450022,8515,29989,2705,43836,3442,50281,3184,34821,2484,20336,2101,52622,3273,5.2,-888888888.0,53.4,0.6,55.8,0.9,54.7,0.9,71.8,3.3,37.3,3.2,39.6,2.8,44.0,3.5,60.7,4.0,61.1,3.3,-888888888,-888888888,46.6,0.6,44.2,0.9,45.3,0.9,28.2,3.3,62.7,3.2,60.4,2.8,56.0,3.5,39.3,4.0,38.9,3.3,-888888888,-888888888,26425,457,25376,513,24680,686,41311,2252,29614,2221,33002,1850,34590,2773,49608,5661,19108,1665,-888888888,-888888888,31756,483,31216,562,30571,583,47020,3539,35300,8489,38542,2465,39204,4899,57679,7035,23779,2416,-888888888,-888888888,21454,471,20194,568,20033,682,24329,3263,27448,2180,30917,1540,32299,2565,37521,5510,11582,1310,-888888888,-888888888,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),16
