GEO_ID,B08006_001E,B08006_001M,B08006_002E,B08006_002M,B08006_003E,B08006_003M,B08006_004E,B08006_004M,B08006_005E,B08006_005M,B08006_006E,B08006_006M,B08006_007E,B08006_007M,B08006_008E,B08006_008M,B08006_009E,B08006_009M,B08006_010E,B08006_010M,B08006_011E,B08006_011M,B08006_012E,B08006_012M,B08006_013E,B08006_013M,B08006_014E,B08006_014M,B08006_015E,B08006_015M,B08006_016E,B08006_016M,B08006_017E,B08006_017M,B08006_018E,B08006_018M,B08006_019E,B08006_019M,B08006_020E,B08006_020M,B08006_021E,B08006_021M,B08006_022E,B08006_022M,B08006_023E,B08006_023M,B08006_024E,B08006_024M,B08006_025E,B08006_025M,B08006_026E,B08006_026M,B08006_027E,B08006_027M,B08006_028E,B08006_028M,B08006_029E,B08006_029M,B08006_030E,B08006_030M,B08006_031E,B08006_031M,B08006_032E,B08006_032M,B08006_033E,B08006_033M,B08006_034E,B08006_034M,B08006_035E,B08006_035M,B08006_036E,B08006_036M,B08006_037E,B08006_037M,B08006_038E,B08006_038M,B08006_039E,B08006_039M,B08006_040E,B08006_040M,B08006_041E,B08006_041M,B08006_042E,B08006_042M,B08006_043E,B08006_043M,B08006_044E,B08006_044M,B08006_045E,B08006_045M,B08006_046E,B08006_046M,B08006_047E,B08006_047M,B08006_048E,B08006_048M,B08006_049E,B08006_049M,B08006_050E,B08006_050M,B08006_051E,B08006_051M,NAME,B08006_001EA,B08006_001MA,B08006_002EA,B08006_002MA,B08006_003MA,B08006_003EA,B08006_004MA,B08006_004EA,B08006_005MA,B08006_005EA,B08006_006EA,B08006_006MA,B08006_007MA,B08006_007EA,B08006_008MA,B08006_008EA,B08006_009MA,B08006_009EA,B08006_010MA,B08006_010EA,B08006_011MA,B08006_011EA,B08006_012MA,B08006_012EA,B08006_013EA,B08006_013MA,B08006_014EA,B08006_014MA,B08006_015MA,B08006_015EA,B08006_016MA,B08006_016EA,B08006_017MA,B08006_017EA,B08006_018MA,B08006_018EA,B08006_019MA,B08006_019EA,B08006_020MA,B08006_020EA,B08006_021MA,B08006_021EA,B08006_022MA,B08006_022EA,B08006_023EA,B08006_023MA,B08006_024EA,B08006_024MA,B08006_025MA,B08006_025EA,B08006_026MA,B08006_026EA,B08006_027MA,B08006_027EA,B08006_028EA,B08006_028MA,B08006_029MA,B08006_029EA,B08006_030MA,B08006_030EA,B08006_031MA,B08006_031EA,B08006_032MA,B08006_032EA,B08006_033MA,B08006_033EA,B08006_034MA,B08006_034EA,B08006_035EA,B08006_035MA,B08006_036EA,B08006_036MA,B08006_037EA,B08006_037MA,B08006_038MA,B08006_038EA,B08006_039MA,B08006_039EA,B08006_040MA,B08006_040EA,B08006_041MA,B08006_041EA,B08006_042MA,B08006_042EA,B08006_043MA,B08006_043EA,B08006_044MA,B08006_044EA,B08006_045EA,B08006_045MA,B08006_046EA,B08006_046MA,B08006_047EA,B08006_047MA,B08006_048MA,B08006_048EA,B08006_049MA,B08006_049EA,B08006_050EA,B08006_050MA,B08006_051MA,B08006_051EA,state
0400000US08,2963212,17754,2473696,18611,2220259,19615,253437,10333,193983,8448,39367,4508,20087,2527,81665,5061,59080,4866,2914,1056,12109,1563,7522,1674,40,64,35593,3059,88231,5517,30507,3113,253520,8712,1598131,11800,1336202,13235,1197096,13189,139106,7267,106352,6042,21077,3163,11677,1949,46491,3657,31794,3149,2046,775,7478,1421,5133,1266,40,64,24144,2572,47773,3826,19460,2337,124061,6273,1365081,12180,1137494,12358,1023163,13129,114331,5270,87631,4546,18290,2810,8410,1548,35174,3105,27286,3004,868,656,4631,910,2389,910,0,204,11449,1819,40458,3680,11047,1898,129459,4919,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,3175022,18082,2913921,19505,2631206,20103,282715,9460,218510,8965,35905,3335,28300,3122,29453,3251,22332,2682,465,432,1293,671,4789,948,574,358,11572,1959,61795,3677,35996,3550,122285,5492,1672752,11082,1538016,12012,1392796,12686,145220,6459,112293,5563,16984,2164,15943,2328,15122,2262,11177,1904,289,396,581,439,2627,736,448,314,8029,1621,32955,2913,21392,2542,57238,4492,1502270,12937,1375905,13115,1238410,12851,137495,5932,106217,5620,18921,2273,12357,1891,14331,2037,11155,1741,176,185,712,509,2162,670,126,168,3543,985,28840,2875,14604,2189,65047,3753,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,1964958,15267,1802934,15931,1618938,17895,183996,8639,146555,7365,21074,2563,16367,2570,19302,2508,19048,2513,245,178,0,197,0,197,9,17,2413,754,38690,3237,21855,2560,79764,4166,1037312,9411,948966,9762,856694,10856,92272,5686,73672,4875,9530,1879,9070,1779,9467,1715,9419,1720,39,66,0,197,0,197,9,17,1829,651,24333,2914,13397,2104,39320,2728,927646,10615,853968,10766,762244,11411,91724,4734,72883,4068,11544,1704,7297,1398,9835,1791,9629,1790,206,141,0,197,0,197,0,197,584,298,14357,2001,8458,1482,40444,2740,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1993979,18692,1829523,18086,1650009,17792,179514,8760,131950,7498,26487,3229,21077,3499,23178,2801,20997,2828,1538,566,470,360,30,52,143,157,10690,1745,35902,3979,27754,3897,66932,4870,1024445,11020,940398,10539,848443,9991,91955,6057,67136,4916,12619,2182,12200,2228,10234,1884,8780,1817,1026,463,285,276,0,217,143,157,7096,1407,17571,2889,17876,2942,31270,3591,969534,12804,889125,12923,801566,13340,87559,6265,64814,5499,13868,2238,8877,2079,12944,2234,12217,2189,512,284,185,185,30,52,0,217,3594,990,18331,2458,9878,1953,35662,3601,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,6191586,23155,5011077,26982,4500138,25050,510939,14700,395257,12896,70711,5107,44971,3613,582223,14511,223209,10120,2713,879,208693,7462,146970,6772,638,575,39072,3615,171445,6897,69176,4327,318593,9126,3252602,13790,2645274,16727,2381803,16819,263471,9221,206496,8354,34808,3339,22167,2345,289744,8552,99886,5955,1337,779,105835,4339,82402,4547,284,284,28046,3130,91009,5077,37527,2969,161002,6119,2938984,15190,2365803,16797,2118335,15186,247468,8324,188761,7212,35903,3205,22804,2449,292479,9227,123323,6648,1376,647,102858,5106,64568,4291,354,507,11026,1962,80436,4146,31649,2885,157591,5977,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,1588720,10465,1424909,11342,1295893,11943,129016,5522,100329,4890,17071,1767,11616,1757,16184,2444,15643,2396,213,183,150,155,0,163,178,200,6300,1270,47472,3543,12549,1768,81306,3953,833975,6298,745720,6804,679539,7725,66181,3638,53354,3281,6773,1066,6054,1217,9235,1701,8804,1659,182,161,79,123,0,163,170,199,4213,936,26101,2612,7773,1286,40933,3223,754745,8192,679189,8386,616354,7768,62835,3251,46975,2864,10298,1372,5562,1195,6949,1440,6839,1449,31,52,71,95,0,163,8,13,2087,893,21371,1987,4776,1092,40373,2954,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,713985,7645,629792,7875,576686,8294,53106,4840,40741,3838,5797,1668,6568,1602,6431,1731,5001,1618,438,519,390,289,508,278,94,113,1847,708,18327,2604,8602,1575,48986,3627,374104,4953,328878,5183,301891,5352,26987,2863,21266,2428,2321,843,3400,1015,3467,1361,2769,1235,274,434,232,209,150,154,42,71,1445,604,9969,1878,5488,1170,24857,2295,339881,5184,300914,5569,274795,5842,26119,3088,19475,2427,3476,1378,3168,975,2964,965,2232,961,164,276,158,174,358,261,52,87,402,327,8358,1409,3114,963,24129,2225,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,1301150,12475,1210850,13034,1075012,12188,135838,6972,102551,6461,19174,2413,14113,2358,5009,1346,4685,1245,0,201,212,265,13,27,99,161,2278,805,20052,2460,14195,2614,48766,4552,683585,9433,631264,9484,560408,8907,70856,4597,54773,4293,7940,1556,8143,1889,2056,796,2043,795,0,201,0,201,13,27,0,201,1701,714,13256,2065,9356,1785,25952,3231,617565,8154,579586,8650,514604,7932,64982,4874,47778,4066,11234,1892,5970,1289,2953,1227,2642,1118,0,201,212,265,0,201,99,161,577,318,6796,1200,4839,1770,22814,2540,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,452707,6902,401553,7394,360283,7081,41270,3928,31255,3421,4596,1305,5419,1896,9756,1642,7534,1436,80,137,614,611,1528,654,0,200,1262,654,10720,1634,3677,885,25739,2523,232446,4547,206169,4799,186046,4727,20123,2371,15332,2118,1449,675,3342,1434,4327,1076,3517,959,80,137,87,68,643,360,0,200,778,533,5209,1274,1737,694,14226,1941,220261,4747,195384,5192,174237,5024,21147,2572,15923,2293,3147,933,2077,859,5429,1267,4017,1114,0,200,527,614,885,496,0,200,484,387,5511,1130,1940,679,11513,1612,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,2922866,12444,2516294,13763,2270810,14538,245484,7133,185209,6577,34398,3084,25877,2965,103737,5511,93177,5299,1619,597,4859,1324,3749,1035,333,210,18674,2149,80543,4347,25913,2343,177705,5568,1515287,8743,1313155,8668,1187052,9452,126103,4731,94798,4322,17285,1961,14020,1787,48545,3983,43130,3894,724,359,2774,980,1701,563,216,164,12283,1603,41815,3218,15694,1638,83795,3634,1407579,9106,1203139,10220,1083758,10016,119381,4658,90411,3795,17113,2093,11857,1614,55192,3379,50047,3289,895,488,2085,790,2048,792,117,110,6391,1042,38728,2913,10219,1593,93910,3391,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
