C24090_001E,C24090_001M,C24090_002E,C24090_002M,C24090_003E,C24090_003M,C24090_004E,C24090_004M,C24090_005E,C24090_005M,C24090_006E,C24090_006M,C24090_007E,C24090_007M,C24090_008E,C24090_008M,C24090_009E,C24090_009M,C24090_010E,C24090_010M,C24090_011E,C24090_011M,C24090_012E,C24090_012M,C24090_013E,C24090_013M,C24090_014E,C24090_014M,C24090_015E,C24090_015M,C24090_016E,C24090_016M,C24090_017E,C24090_017M,C24090_018E,C24090_018M,C24090_019E,C24090_019M,C24090_001M,C24090_001EA,C24090_001MA,C24090_002M,C24090_002EA,C24090_002MA,C24090_003M,C24090_003EA,C24090_003MA,C24090_004M,C24090_004EA,C24090_004MA,C24090_005M,C24090_005EA,C24090_005MA,C24090_006M,C24090_006EA,C24090_006MA,C24090_007M,C24090_007EA,C24090_007MA,C24090_008M,C24090_008EA,C24090_008MA,C24090_009M,C24090_009EA,C24090_009MA,C24090_010M,C24090_010EA,C24090_010MA,C24090_011M,C24090_011EA,C24090_011MA,C24090_012M,C24090_012EA,C24090_012MA,C24090_013M,C24090_013EA,C24090_013MA,C24090_014M,C24090_014EA,C24090_014MA,C24090_015M,C24090_015EA,C24090_015MA,C24090_016M,C24090_016EA,C24090_016MA,C24090_017M,C24090_017EA,C24090_017MA,C24090_018M,C24090_018EA,C24090_018MA,C24090_019M,C24090_019EA,C24090_019MA,state
6491627,37024,3623499,26088,2886082,23471,2597833,24810,288249,7930,145484,7044,221365,9012,84334,5115,97071,5672,189163,9005,2868128,21303,2059214,19640,1959315,18928,99899,6068,248975,8901,260734,8895,129546,6635,63329,4238,106330,6335,37024,null,null,26088,null,null,23471,null,null,24810,null,null,7930,null,null,7044,null,null,9012,null,null,5115,null,null,5672,null,null,9005,null,null,21303,null,null,19640,null,null,18928,null,null,6068,null,null,8901,null,null,8895,null,null,6635,null,null,4238,null,null,6335,null,null,12
3406111,25876,1887404,16341,1502182,16509,1394607,16902,107575,5423,68674,4974,94221,5719,58487,4163,69521,5646,94319,6116,1518707,19104,1037865,16181,1001253,16288,36612,3102,125031,5468,144638,7300,109951,6251,54575,4655,46647,3800,25876,null,null,16341,null,null,16509,null,null,16902,null,null,5423,null,null,4974,null,null,5719,null,null,4163,null,null,5646,null,null,6116,null,null,19104,null,null,16181,null,null,16288,null,null,3102,null,null,5468,null,null,7300,null,null,6251,null,null,4655,null,null,3800,null,null,13
487245,7485,268293,5376,177131,5926,165582,5443,11549,1567,14644,1872,13682,1916,18502,1848,29536,2905,14798,2159,218952,4438,136284,4956,130681,4812,5603,1105,22107,2117,6369,1138,31049,2977,13992,1869,9151,1682,7485,null,null,5376,null,null,5926,null,null,5443,null,null,1567,null,null,1872,null,null,1916,null,null,1848,null,null,2905,null,null,2159,null,null,4438,null,null,4956,null,null,4812,null,null,1105,null,null,2117,null,null,1138,null,null,2977,null,null,1869,null,null,1682,null,null,15
513893,9323,315588,6878,230919,6512,212140,6359,18779,2034,15156,2092,19859,2698,15096,2109,11964,1793,22594,2685,198305,6659,128988,5928,123960,5781,5028,1166,22140,2820,15004,1926,15781,2448,6782,1160,9610,1582,9323,null,null,6878,null,null,6512,null,null,6359,null,null,2034,null,null,2092,null,null,2698,null,null,2109,null,null,1793,null,null,2685,null,null,6659,null,null,5928,null,null,5781,null,null,1166,null,null,2820,null,null,1926,null,null,2448,null,null,1160,null,null,1582,null,null,16
4360441,24871,2473659,16268,1975934,16533,1854677,16686,121257,4998,137274,4890,140832,5295,64623,3975,49236,3205,105760,5136,1886782,17112,1324627,17189,1281765,17230,42862,3189,239223,9003,145997,5928,85576,4005,38754,3354,52605,3775,24871,null,null,16268,null,null,16533,null,null,16686,null,null,4998,null,null,4890,null,null,5295,null,null,3975,null,null,3205,null,null,5136,null,null,17112,null,null,17189,null,null,17230,null,null,3189,null,null,9003,null,null,5928,null,null,4005,null,null,3354,null,null,3775,null,null,17
2202098,16580,1263680,10380,1028242,11163,973726,11416,54516,3479,64808,3551,57573,3360,36628,2797,21823,2358,54606,3723,938418,12876,678304,12711,662458,12616,15846,2087,117112,5685,56563,3656,46161,3258,17492,1975,22786,2402,16580,null,null,10380,null,null,11163,null,null,11416,null,null,3479,null,null,3551,null,null,3360,null,null,2797,null,null,2358,null,null,3723,null,null,12876,null,null,12711,null,null,12616,null,null,2087,null,null,5685,null,null,3656,null,null,3258,null,null,1975,null,null,2402,null,null,18
1126841,10982,643904,7834,494665,6500,461519,6596,33146,2669,31921,2943,34582,2568,25949,2307,10620,1533,46167,2668,482937,7368,325249,6546,315948,6440,9301,1507,61115,3589,33282,2307,35413,2706,10076,1563,17802,1414,10982,null,null,7834,null,null,6500,null,null,6596,null,null,2669,null,null,2943,null,null,2568,null,null,2307,null,null,1533,null,null,2668,null,null,7368,null,null,6546,null,null,6440,null,null,1507,null,null,3589,null,null,2307,null,null,2706,null,null,1563,null,null,1414,null,null,19
1005828,10594,572194,6673,435207,7704,407084,7703,28123,2117,25641,2497,34397,2395,24098,2226,17050,2169,35801,2646,433634,7412,282086,7791,274446,7414,7640,1369,47295,2773,38165,2744,37874,2806,11694,1624,16520,1715,10594,null,null,6673,null,null,7704,null,null,7703,null,null,2117,null,null,2497,null,null,2395,null,null,2226,null,null,2169,null,null,2646,null,null,7412,null,null,7791,null,null,7414,null,null,1369,null,null,2773,null,null,2744,null,null,2806,null,null,1624,null,null,1715,null,null,20
1374904,17334,772053,11359,603611,10106,573248,10093,30363,2426,34774,3020,36913,2862,36257,2616,19199,1954,41299,3069,602851,11985,409502,10501,398475,10026,11027,1675,63275,3971,39192,2996,57651,3890,15994,2011,17237,1893,17334,null,null,11359,null,null,10106,null,null,10093,null,null,2426,null,null,3020,null,null,2862,null,null,2616,null,null,1954,null,null,3069,null,null,11985,null,null,10501,null,null,10026,null,null,1675,null,null,3971,null,null,2996,null,null,3890,null,null,2011,null,null,1893,null,null,21
1425354,13745,784545,9441,611691,11336,571923,10284,39768,3345,31559,2912,48616,4065,33765,3210,18077,1907,40837,3415,640809,10327,433826,9627,420541,9914,13285,2007,60971,3775,61545,4866,52084,3536,13836,1794,18547,2350,13745,null,null,9441,null,null,11336,null,null,10284,null,null,3345,null,null,2912,null,null,4065,null,null,3210,null,null,1907,null,null,3415,null,null,10327,null,null,9627,null,null,9914,null,null,2007,null,null,3775,null,null,4866,null,null,3536,null,null,1794,null,null,2350,null,null,22
