C05003H_001E,C05003H_001EA,C05003H_001M,C05003H_001MA,C05003H_002E,C05003H_002EA,C05003H_002M,C05003H_002MA,C05003H_003E,C05003H_003EA,C05003H_003M,C05003H_003MA,C05003H_004E,C05003H_004EA,C05003H_004M,C05003H_004MA,C05003H_005E,C05003H_005EA,C05003H_005M,C05003H_005MA,C05003H_006E,C05003H_006EA,C05003H_006M,C05003H_006MA,C05003H_007E,C05003H_007EA,C05003H_007M,C05003H_007MA,C05003H_008E,C05003H_008EA,C05003H_008M,C05003H_008MA,C05003H_009E,C05003H_009EA,C05003H_009M,C05003H_009MA,C05003H_010E,C05003H_010EA,C05003H_010M,C05003H_010MA,C05003H_011E,C05003H_011EA,C05003H_011M,C05003H_011MA,C05003H_012E,C05003H_012EA,C05003H_012M,C05003H_012MA,C05003H_013E,C05003H_013EA,C05003H_013M,C05003H_013MA,C05003H_014E,C05003H_014EA,C05003H_014M,C05003H_014MA,C05003H_015E,C05003H_015EA,C05003H_015M,C05003H_015MA,GEO_ID,NAME,state
3198640,null,1785,null,1563580,null,2448,null,351264,null,1675,null,349687,null,1716,null,1577,null,600,null,1212316,null,1521,null,1198907,null,2622,null,13409,null,2078,null,1635060,null,2627,null,333076,null,1799,null,330916,null,1981,null,2160,null,886,null,1301984,null,1771,null,1287964,null,2249,null,14020,null,1618,null,0400000US01,Alabama,01
454124,null,704,null,238942,null,783,null,52653,null,790,null,52293,null,901,null,360,null,330,null,186289,null,396,null,182401,null,946,null,3888,null,833,null,215182,null,866,null,48794,null,781,null,48513,null,778,null,281,null,159,null,166388,null,257,null,160803,null,1282,null,5585,null,1238,null,0400000US02,Alaska,02
3767988,null,3913,null,1857955,null,2312,null,370392,null,1941,null,366603,null,2417,null,3789,null,1257,null,1487563,null,1151,null,1418050,null,5329,null,69513,null,5251,null,1910033,null,2821,null,350967,null,1878,null,346860,null,2378,null,4107,null,1266,null,1559066,null,1484,null,1476940,null,5888,null,82126,null,5455,null,0400000US04,Arizona,04
2166895,null,1752,null,1060735,null,1940,null,240108,null,1818,null,239894,null,1852,null,214,null,184,null,820627,null,713,null,813883,null,1661,null,6744,null,1414,null,1106160,null,2139,null,229021,null,1844,null,228752,null,1877,null,269,null,262,null,877139,null,1016,null,867314,null,1875,null,9825,null,1790,null,0400000US05,Arkansas,05
15325751,null,6499,null,7608700,null,4658,null,1412893,null,2334,null,1381686,null,3600,null,31207,null,3441,null,6195807,null,3507,null,5572747,null,14228,null,623060,null,13506,null,7717051,null,4621,null,1335240,null,3460,null,1302539,null,5872,null,32701,null,4106,null,6381811,null,2994,null,5673436,null,14499,null,708375,null,14318,null,0400000US06,California,06
3540663,null,3902,null,1766091,null,2718,null,370688,null,1029,null,368061,null,1156,null,2627,null,789,null,1395403,null,2451,null,1351344,null,4631,null,44059,null,3899,null,1774572,null,2222,null,347099,null,1773,null,344303,null,2164,null,2796,null,1041,null,1427473,null,946,null,1374353,null,3473,null,53120,null,3384,null,0400000US08,Colorado,08
2562302,null,3868,null,1244641,null,1872,null,263336,null,687,null,257622,null,1551,null,5714,null,1467,null,981305,null,1621,null,902954,null,4775,null,78351,null,4545,null,1317661,null,2264,null,250161,null,1184,null,245024,null,1610,null,5137,null,1355,null,1067500,null,1347,null,982725,null,4045,null,84775,null,3824,null,0400000US09,Connecticut,09
596365,null,638,null,289212,null,433,null,60770,null,303,null,60385,null,456,null,385,null,318,null,228442,null,236,null,222208,null,1494,null,6234,null,1471,null,307153,null,357,null,57760,null,191,null,57294,null,381,null,466,null,324,null,249393,null,295,null,240702,null,1911,null,8691,null,1870,null,0400000US10,Delaware,10
199898,null,1211,null,98828,null,496,null,11258,null,450,null,10611,null,695,null,647,null,533,null,87570,null,193,null,80244,null,1458,null,7326,null,1460,null,101070,null,962,null,11653,null,484,null,11336,null,553,null,317,null,416,null,89417,null,600,null,80820,null,1533,null,8597,null,1559,null,0400000US11,District of Columbia,11
10988592,null,6103,null,5372979,null,4369,null,999664,null,3149,null,983981,null,4232,null,15683,null,2725,null,4373315,null,2566,null,4102598,null,10535,null,270717,null,10484,null,5615613,null,3693,null,948825,null,2479,null,931659,null,3910,null,17166,null,2759,null,4666788,null,2533,null,4336484,null,10546,null,330304,null,10167,null,0400000US12,Florida,12
