B01002A_001E,B01002A_001EA,B01002A_001M,B01002A_001MA,B01002A_002E,B01002A_002EA,B01002A_002M,B01002A_002MA,B01002A_003E,B01002A_003EA,B01002A_003M,B01002A_003MA,GEO_ID,NAME,state
40.0,null,0.2,null,38.6,null,0.2,null,41.5,null,0.2,null,0400000US01,Alabama,01
36.2,null,0.4,null,35.2,null,0.6,null,36.9,null,0.4,null,0400000US02,Alaska,02
37.5,null,0.2,null,35.9,null,0.2,null,39.0,null,0.2,null,0400000US04,Arizona,04
39.6,null,0.2,null,38.3,null,0.3,null,40.8,null,0.3,null,0400000US05,Arkansas,05
37.5,null,0.2,null,36.2,null,0.1,null,38.9,null,0.2,null,0400000US06,California,06
37.3,null,0.2,null,36.2,null,0.3,null,38.5,null,0.2,null,0400000US08,Colorado,08
42.5,null,0.2,null,41.1,null,0.2,null,43.7,null,0.2,null,0400000US09,Connecticut,09
41.3,null,0.4,null,39.9,null,0.5,null,42.8,null,0.4,null,0400000US10,Delaware,10
33.8,null,0.3,null,34.7,null,0.4,null,33.1,null,0.4,null,0400000US11,District of Columbia,11
43.2,null,0.1,null,41.4,null,0.2,null,44.8,null,0.2,null,0400000US12,Florida,12
37.8,null,0.2,null,36.6,null,0.2,null,38.9,null,0.2,null,0400000US13,Georgia,13
38.7,null,0.4,null,37.4,null,0.5,null,41.4,null,1.2,null,0400000US15,Hawaii,15
35.1,null,0.2,null,34.1,null,0.2,null,36.3,null,0.3,null,0400000US16,Idaho,16
39.0,null,0.2,null,37.6,null,0.2,null,40.4,null,0.2,null,0400000US17,Illinois,17
38.4,null,0.1,null,37.0,null,0.2,null,39.7,null,0.2,null,0400000US18,Indiana,18
39.5,null,0.2,null,38.1,null,0.2,null,40.9,null,0.2,null,0400000US19,Iowa,19
37.5,null,0.2,null,35.9,null,0.2,null,39.1,null,0.3,null,0400000US20,Kansas,20
38.7,null,0.2,null,37.5,null,0.2,null,39.9,null,0.3,null,0400000US21,Kentucky,21
39.1,null,0.2,null,37.8,null,0.3,null,40.6,null,0.3,null,0400000US22,Louisiana,22
43.1,null,0.2,null,42.0,null,0.3,null,44.1,null,0.2,null,0400000US23,Maine,23
40.8,null,0.2,null,39.5,null,0.2,null,42.2,null,0.2,null,0400000US24,Maryland,24
41.3,null,0.2,null,39.9,null,0.2,null,42.6,null,0.2,null,0400000US25,Massachusetts,25
40.5,null,0.1,null,39.3,null,0.1,null,41.8,null,0.2,null,0400000US26,Michigan,26
39.5,null,0.1,null,38.5,null,0.2,null,40.6,null,0.2,null,0400000US27,Minnesota,27
39.5,null,0.3,null,37.7,null,0.3,null,41.3,null,0.3,null,0400000US28,Mississippi,28
39.2,null,0.1,null,37.9,null,0.2,null,40.5,null,0.2,null,0400000US29,Missouri,29
41.1,null,0.4,null,39.7,null,0.3,null,42.4,null,0.4,null,0400000US30,Montana,30
37.8,null,0.2,null,36.4,null,0.3,null,39.1,null,0.3,null,0400000US31,Nebraska,31
37.0,null,0.2,null,36.3,null,0.3,null,37.7,null,0.3,null,0400000US32,Nevada,32
41.3,null,0.2,null,40.4,null,0.3,null,42.1,null,0.3,null,0400000US33,New Hampshire,33
41.6,null,0.1,null,40.1,null,0.2,null,43.1,null,0.2,null,0400000US34,New Jersey,34
38.6,null,0.4,null,36.8,null,0.6,null,40.0,null,0.4,null,0400000US35,New Mexico,35
40.9,null,0.1,null,39.6,null,0.2,null,42.4,null,0.1,null,0400000US36,New York,36
39.5,null,0.1,null,38.1,null,0.2,null,40.8,null,0.2,null,0400000US37,North Carolina,37
39.1,null,0.4,null,37.3,null,0.3,null,41.1,null,0.4,null,0400000US38,North Dakota,38
40.0,null,0.1,null,38.7,null,0.2,null,41.4,null,0.1,null,0400000US39,Ohio,39
38.8,null,0.2,null,36.9,null,0.2,null,40.5,null,0.2,null,0400000US40,Oklahoma,40
40.1,null,0.2,null,38.8,null,0.3,null,41.3,null,0.2,null,0400000US41,Oregon,41
42.0,null,0.1,null,40.4,null,0.2,null,43.6,null,0.2,null,0400000US42,Pennsylvania,42
42.1,null,0.3,null,40.3,null,0.4,null,43.5,null,0.3,null,0400000US44,Rhode Island,44
40.3,null,0.2,null,38.7,null,0.3,null,41.9,null,0.2,null,0400000US45,South Carolina,45
39.7,null,0.4,null,37.9,null,0.5,null,41.5,null,0.5,null,0400000US46,South Dakota,46
39.6,null,0.2,null,38.3,null,0.2,null,41.0,null,0.2,null,0400000US47,Tennessee,47
34.6,null,0.1,null,33.5,null,0.1,null,35.8,null,0.1,null,0400000US48,Texas,48
29.5,null,0.2,null,29.1,null,0.2,null,30.0,null,0.1,null,0400000US49,Utah,49
42.1,null,0.3,null,40.9,null,0.3,null,43.1,null,0.3,null,0400000US50,Vermont,50
39.2,null,0.2,null,37.7,null,0.2,null,40.6,null,0.2,null,0400000US51,Virginia,51
39.3,null,0.2,null,38.3,null,0.2,null,40.4,null,0.2,null,0400000US53,Washington,53
41.3,null,0.2,null,40.0,null,0.2,null,42.7,null,0.3,null,0400000US54,West Virginia,54
40.2,null,0.1,null,39.2,null,0.2,null,41.3,null,0.1,null,0400000US55,Wisconsin,55
37.7,null,0.4,null,36.2,null,0.8,null,38.6,null,0.4,null,0400000US56,Wyoming,56
37.4,null,0.3,null,35.2,null,0.3,null,39.3,null,0.3,null,0400000US72,Puerto Rico,72
