GEO_ID,B17001D_001E,B17001D_001M,B17001D_002E,B17001D_002M,B17001D_003E,B17001D_003M,B17001D_004E,B17001D_004M,B17001D_005E,B17001D_005M,B17001D_006E,B17001D_006M,B17001D_007E,B17001D_007M,B17001D_008E,B17001D_008M,B17001D_009E,B17001D_009M,B17001D_010E,B17001D_010M,B17001D_011E,B17001D_011M,B17001D_012E,B17001D_012M,B17001D_013E,B17001D_013M,B17001D_014E,B17001D_014M,B17001D_015E,B17001D_015M,B17001D_016E,B17001D_016M,B17001D_017E,B17001D_017M,B17001D_018E,B17001D_018M,B17001D_019E,B17001D_019M,B17001D_020E,B17001D_020M,B17001D_021E,B17001D_021M,B17001D_022E,B17001D_022M,B17001D_023E,B17001D_023M,B17001D_024E,B17001D_024M,B17001D_025E,B17001D_025M,B17001D_026E,B17001D_026M,B17001D_027E,B17001D_027M,B17001D_028E,B17001D_028M,B17001D_029E,B17001D_029M,B17001D_030E,B17001D_030M,B17001D_031E,B17001D_031M,B17001D_032E,B17001D_032M,B17001D_033E,B17001D_033M,B17001D_034E,B17001D_034M,B17001D_035E,B17001D_035M,B17001D_036E,B17001D_036M,B17001D_037E,B17001D_037M,B17001D_038E,B17001D_038M,B17001D_039E,B17001D_039M,B17001D_040E,B17001D_040M,B17001D_041E,B17001D_041M,B17001D_042E,B17001D_042M,B17001D_043E,B17001D_043M,B17001D_044E,B17001D_044M,B17001D_045E,B17001D_045M,B17001D_046E,B17001D_046M,B17001D_047E,B17001D_047M,B17001D_048E,B17001D_048M,B17001D_049E,B17001D_049M,B17001D_050E,B17001D_050M,B17001D_051E,B17001D_051M,B17001D_052E,B17001D_052M,B17001D_053E,B17001D_053M,B17001D_054E,B17001D_054M,B17001D_055E,B17001D_055M,B17001D_056E,B17001D_056M,B17001D_057E,B17001D_057M,B17001D_058E,B17001D_058M,B17001D_059E,B17001D_059M,NAME,B17001D_001MA,B17001D_001EA,B17001D_002MA,B17001D_002EA,B17001D_003EA,B17001D_003MA,B17001D_004EA,B17001D_004MA,B17001D_005EA,B17001D_005MA,B17001D_006EA,B17001D_006MA,B17001D_007MA,B17001D_007EA,B17001D_008EA,B17001D_008MA,B17001D_009EA,B17001D_009MA,B17001D_010EA,B17001D_010MA,B17001D_011EA,B17001D_011MA,B17001D_012MA,B17001D_012EA,B17001D_013MA,B17001D_013EA,B17001D_014MA,B17001D_014EA,B17001D_015MA,B17001D_015EA,B17001D_016EA,B17001D_016MA,B17001D_017EA,B17001D_017MA,B17001D_018MA,B17001D_018EA,B17001D_019MA,B17001D_019EA,B17001D_020MA,B17001D_020EA,B17001D_021EA,B17001D_021MA,B17001D_022EA,B17001D_022MA,B17001D_023MA,B17001D_023EA,B17001D_024MA,B17001D_024EA,B17001D_025MA,B17001D_025EA,B17001D_026EA,B17001D_026MA,B17001D_027EA,B17001D_027MA,B17001D_028MA,B17001D_028EA,B17001D_029MA,B17001D_029EA,B17001D_030MA,B17001D_030EA,B17001D_031EA,B17001D_031MA,B17001D_032EA,B17001D_032MA,B17001D_033MA,B17001D_033EA,B17001D_034MA,B17001D_034EA,B17001D_035MA,B17001D_035EA,B17001D_036EA,B17001D_036MA,B17001D_037EA,B17001D_037MA,B17001D_038MA,B17001D_038EA,B17001D_039MA,B17001D_039EA,B17001D_040MA,B17001D_040EA,B17001D_041EA,B17001D_041MA,B17001D_042EA,B17001D_042MA,B17001D_043EA,B17001D_043MA,B17001D_044EA,B17001D_044MA,B17001D_045MA,B17001D_045EA,B17001D_046MA,B17001D_046EA,B17001D_047EA,B17001D_047MA,B17001D_048EA,B17001D_048MA,B17001D_049EA,B17001D_049MA,B17001D_050EA,B17001D_050MA,B17001D_051MA,B17001D_051EA,B17001D_052EA,B17001D_052MA,B17001D_053EA,B17001D_053MA,B17001D_054EA,B17001D_054MA,B17001D_055EA,B17001D_055MA,B17001D_056MA,B17001D_056EA,B17001D_057MA,B17001D_057EA,B17001D_058EA,B17001D_058MA,B17001D_059EA,B17001D_059MA,state
0400000US01,65580,3068,10131,2992,5228,1709,49,61,0,200,496,414,271,323,112,150,138,186,1188,433,992,546,476,561,746,523,301,198,459,361,0,200,4903,1617,180,224,33,56,0,200,49,68,246,320,105,114,694,465,457,321,539,611,1290,814,427,291,798,600,85,128,55449,3844,25493,2036,1382,711,122,152,2145,629,877,445,885,537,854,334,2342,788,4249,988,3758,947,4496,1019,2896,699,959,344,528,302,29956,2535,1979,767,563,431,2606,881,1482,471,328,260,1041,493,2135,672,3574,925,5257,1122,4891,918,3404,747,1838,563,858,435,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,48527,2204,7718,4797,3814,2437,296,354,378,307,936,729,331,248,59,90,343,292,392,385,254,161,260,277,302,282,263,180,0,153,0,153,3904,2435,500,699,0,153,603,593,97,92,394,268,13,23,574,562,128,176,816,587,210,198,92,110,45,77,432,317,40809,4559,19094,2432,1125,529,281,346,1116,623,670,554,409,295,457,346,1748,478,3331,581,2371,610,3166,746,2511,417,1411,405,498,251,21715,2393,887,549,118,140,1517,660,656,402,107,90,580,295,2122,789,3123,1005,3509,913,3407,502,2907,353,2025,405,757,424,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,228244,4873,26026,3591,12950,1848,690,668,0,208,131,128,169,116,138,127,47,59,5662,1166,2410,942,931,497,639,336,973,499,623,372,537,284,13076,2426,330,288,0,208,203,154,139,133,0,208,90,148,3596,1072,2715,1311,1187,516,1332,605,1510,583,1350,585,624,410,202218,5188,92488,3217,5835,976,862,340,6872,1128,3233,917,872,451,2539,601,7191,986,15653,1324,16515,1115,14456,957,9798,835,5188,624,3474,489,109730,2922,5594,796,1282,433,7482,1190,3742,714,1200,443,2273,612,7450,1058,18113,1466,19479,1246,17673,963,11731,933,9003,692,4708,575,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,46993,3229,6338,2135,2881,1430,431,477,0,201,257,300,0,201,0,201,156,299,326,356,1188,838,23,45,26,45,474,403,0,201,0,201,3457,1090,427,399,181,226,0,201,0,201,200,386,0,201,741,467,889,679,312,275,94,151,313,268,295,267,5,9,40655,3345,20288,1990,1368,545,174,192,1995,633,1017,507,445,349,441,330,1901,692,3705,900,3878,754,2184,660,1936,650,1134,426,110,119,20367,2011,957,443,533,357,1763,596,1293,639,250,209,643,357,1387,597,2919,655,3403,778,3409,849,2046,669,1245,627,519,413,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5685508,20635,583716,18764,260033,10553,11800,1840,3276,923,15415,2071,10159,1679,4281,1081,7904,1495,52285,4340,38001,3458,22844,2673,30723,2859,25107,2967,19400,1795,18838,2171,323683,11417,14190,2286,2796,989,16997,2029,7566,1617,2676,790,6612,1330,55612,3927,43669,3905,34245,3056,35107,3181,35742,3003,30779,2643,37692,3311,5101792,23086,2421040,13460,127325,3336,26533,2387,158151,4805,83502,3794,25976,2429,57001,2937,173756,4670,418022,5881,379043,3932,345028,4296,299116,3420,199315,3047,128272,2764,2680752,15113,123053,3602,24598,2320,151603,5384,74780,3726,25974,2131,53038,2688,154452,4603,438269,5867,437023,3735,410356,3975,363486,3913,247878,3155,176242,3771,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,175701,4115,16113,3005,7854,1728,348,252,0,200,213,208,237,272,207,247,545,292,2378,956,1409,542,833,374,361,227,394,315,416,508,513,307,8259,1642,180,191,100,158,620,505,134,143,71,76,37,62,1337,528,1876,560,720,351,749,394,927,501,1031,567,477,313,159588,4431,73278,3074,4065,717,798,446,6632,1045,3292,866,1775,778,1671,575,6205,1020,13368,1229,12374,1179,10903,1302,6233,1080,4185,849,1777,573,86310,2897,4148,786,422,288,8106,1015,3423,790,1001,432,2400,732,7101,1096,13588,1424,15312,935,12230,928,8989,689,5755,848,3835,813,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,160349,3160,15472,3274,6240,1736,155,149,164,180,425,384,131,128,98,166,614,452,1912,724,954,532,717,533,578,425,285,208,123,152,84,129,9232,2051,305,249,152,188,436,332,152,166,152,208,341,284,2360,1050,1804,672,1216,590,1486,780,451,281,150,193,227,137,144877,4289,69751,2566,3586,616,682,375,4971,935,2712,673,666,378,1355,464,5558,792,14257,880,12009,883,11225,988,6853,548,4302,546,1575,462,75126,2637,3196,534,827,487,5139,928,2839,699,1079,481,1969,622,4635,1092,14571,962,14269,966,11531,1130,7761,607,5177,786,2133,504,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,38151,1678,4531,1201,1524,627,0,198,0,198,134,163,0,198,0,198,0,198,496,298,534,525,113,115,74,99,132,168,41,79,0,198,3007,931,40,72,0,198,158,144,20,33,0,198,0,198,1019,472,896,555,385,343,142,163,92,112,255,268,0,198,33620,2049,16673,1184,1250,201,53,74,1494,446,459,336,126,155,643,538,1090,411,3204,567,2964,336,2062,421,1846,241,718,353,764,385,16947,1213,974,289,471,338,1031,339,638,313,91,159,343,289,631,365,3506,461,2630,543,2514,484,2071,289,1330,431,717,318,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,582172,7779,73005,7330,35779,3944,2713,965,369,281,2461,900,1075,569,238,237,1022,566,8517,1656,5439,1256,3777,1091,3956,1063,2073,836,2181,966,1958,629,37226,4465,1611,740,251,296,1188,553,1725,722,800,449,733,345,6944,1361,5831,1498,4657,1154,3529,955,3620,1056,3524,1119,2813,990,509167,9360,230190,5724,10220,1526,2596,941,16043,1970,9590,1503,2436,674,5502,1287,16937,2088,36558,2279,38515,2541,35237,2389,28084,1375,18959,1474,9513,1417,278977,5920,11559,1500,2056,703,16386,2157,9781,1513,3146,773,6516,1204,19932,2232,40064,3255,47449,2261,45881,2285,35163,1512,27351,1641,13693,1496,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,401740,7341,37641,4898,19070,2513,960,529,0,224,1506,643,679,612,298,310,479,392,5895,1237,3209,1002,1885,800,1312,550,1551,786,557,351,739,382,18571,3443,987,510,79,126,1806,1140,662,361,442,420,117,194,3301,1187,4662,1368,1423,516,2291,910,996,595,1169,530,636,478,364099,8792,173454,4590,11361,1348,2729,829,12594,1579,7828,1622,2191,725,2952,715,12725,1604,31019,1990,30883,1744,27562,1940,17651,1279,9098,955,4861,753,190645,5618,9799,1188,2418,841,13769,1450,7091,1402,2436,1068,4163,1009,11650,1590,31953,2099,36571,1851,29193,1797,22342,1605,12764,1357,6496,1035,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
