GEO_ID,C24090_001E,C24090_001M,C24090_002E,C24090_002M,C24090_003E,C24090_003M,C24090_004E,C24090_004M,C24090_005E,C24090_005M,C24090_006E,C24090_006M,C24090_007E,C24090_007M,C24090_008E,C24090_008M,C24090_009E,C24090_009M,C24090_010E,C24090_010M,C24090_011E,C24090_011M,C24090_012E,C24090_012M,C24090_013E,C24090_013M,C24090_014E,C24090_014M,C24090_015E,C24090_015M,C24090_016E,C24090_016M,C24090_017E,C24090_017M,C24090_018E,C24090_018M,C24090_019E,C24090_019M,NAME,C24090_001EA,C24090_001MA,C24090_002MA,C24090_002EA,C24090_003MA,C24090_003EA,C24090_004EA,C24090_004MA,C24090_005MA,C24090_005EA,C24090_006EA,C24090_006MA,C24090_007EA,C24090_007MA,C24090_008MA,C24090_008EA,C24090_009MA,C24090_009EA,C24090_010EA,C24090_010MA,C24090_011EA,C24090_011MA,C24090_012EA,C24090_012MA,C24090_013EA,C24090_013MA,C24090_014EA,C24090_014MA,C24090_015MA,C24090_015EA,C24090_016MA,C24090_016EA,C24090_017EA,C24090_017MA,C24090_018EA,C24090_018MA,C24090_019EA,C24090_019MA,state
0400000US01,1506938,16760,846717,9670,652876,9782,612428,9331,40448,2941,34394,3126,47066,3835,33717,3036,32704,3206,45960,3701,660221,12580,453863,12181,441167,11969,12696,2049,62188,3860,52788,3569,51749,3327,24470,2593,15163,1932,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,229641,5785,130378,5173,83325,4685,77968,4601,5357,1143,7768,1199,8947,1456,11934,1710,12311,1888,6093,1144,99263,2882,52374,3020,50272,3152,2102,740,14586,1951,9629,1287,11866,1722,6712,1003,4096,975,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2207883,16736,1265968,10959,986561,11532,926728,11630,59833,3816,53242,3795,73755,4783,39981,2973,43710,3603,68719,4605,941915,14176,668063,13100,644772,12687,23291,2782,89709,4777,75609,4749,55742,4037,22938,2417,29854,2883,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,955211,12685,527589,8564,406006,8400,382483,8652,23523,2702,23997,2379,23924,2369,29020,2879,12474,2369,32168,2858,427622,9178,282703,7663,273220,7407,9483,1682,43010,3761,26523,2483,50215,3427,12198,1874,12973,2200,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12795143,47133,7537236,31442,5853494,32008,5502498,29849,350996,10095,317982,10637,435284,13293,234375,8613,174238,6516,521863,12836,5257907,33095,3618732,29410,3490588,28526,128144,5228,477244,11287,524864,12876,274063,7742,105343,5309,257661,7455,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2041217,15562,1191498,11998,933015,12608,855575,11976,77440,4303,53054,3752,64739,3783,35142,2676,44880,3424,60668,3980,849719,10819,568024,9353,542253,8961,25771,2152,96586,4388,79857,4841,42031,2849,29810,2853,33411,3142,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1232355,14670,692968,9141,526956,8201,488368,8053,38588,2437,38934,3379,37528,2990,25492,2764,15816,2093,48242,4185,539387,10776,359096,10667,348081,10485,11015,1959,77568,4206,46494,3615,28025,2313,6955,1379,21249,2734,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,313402,7199,171179,4547,133288,4508,122838,4348,10450,1603,9418,1770,4875,1271,10528,1747,4955,1188,8115,1733,142223,4670,95498,4064,92518,3959,2980,812,14842,1985,5149,1210,18456,2239,3702,985,4576,1106,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,287039,6047,144156,3759,76012,3913,70395,4056,5617,1132,22902,2588,7346,1596,2602,852,29822,2411,5472,1239,142883,4330,60423,3435,58049,3371,2374,750,36996,2852,7990,1526,4201,1421,30146,3048,3127,817,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,6739568,37919,3757884,27023,3009455,25990,2715518,26656,293937,10056,158078,7557,215895,8721,85481,5406,98708,6256,190267,8541,2981684,21527,2177851,22796,2074014,23477,103837,6063,255069,9387,255659,8916,123643,6402,65109,5547,104353,5965,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
